1492866114000[,,,,,,]$锦龙股份(SZ000712)$排中小板17位
1490237903000[,,,,,,]$东莞控股(SZ000828)$$锦龙股份(SZ000712)$今天收盘后将发布下周上会名单。有机会。
1490236845000[,,,,,,]锦龙股份出了，买进中国银河。。
1490234791000[,,,,,,] 很有意思，券商板块下跌的时候，它是众人皆醉我独醒，上涨的时候，它就萎了
1490169575000[,,,,,,]【20170322操作总结和明日计划】1、大盘：下跌。2、热点：无。3、均线：收5日线下，10，20日均线上。4、操作指数：5。5、操作：今天无操作，继续持有    ，锦龙股份 。锦龙今天终于收在了24元之上，不过与关联的股票东莞控股相比，走势明显弱于东莞控股。。 ，白酒昨天大涨之后，今天个股分化，泸州老窖，伊力特等继续大涨创新高！只是可惜了我的老白干，被关到何时才能放出来呢。
1490168446000[,,,,,,]03-22周三今日操作：新宏泽：-1%加仓，没问题。无需多言。锦龙股份：锁仓，没问题。无需多言。中铁工业：-1%卖出，没问题。因为要加仓新宏泽，没办法，以后切记要留着现金，不要看到什么好像有机会就上，要做减法。今日好思路：竞价：看到尚品宅配超预期高开，知道今天新股能干了，道道全开板值得部分仓位；早盘：达刚路机的强势涨停，可以追涨山推股份，不过不确定性大，一带一路起来的时候，明显感觉到高送转的杀跌，资金跷跷板效应还是很明显的；午盘：还是两条主线，一条是热钱在玩的次新股+高送转，一条是机构资金在玩的白酒、医药、家电等价值蓝筹股。明日预判：热点还是在次新股、高送转，二者叠加概念的更猛！关注：新宏泽、道道全、尚品宅配、达刚路机、中材国际。
1490166605000[,,,,,,]阴云密布券商板块今天再次下挫， 大跌1.3%，K线四连阴，个股仅券商影子股 小幅上涨，涨幅0.25%。 F二级市场跌1.23%，报0.962元。
1490158275000[,,,,,,]乌龙指又现。新三板公司巨鹏食品(832332.OC)正是本次乌龙指的“主角”。　　该公司昨日(3月21日)收盘价为8.70∕股，今日(2017年3月22日)上午以每股8.57元开盘，却在10点21分时惊现乌龙指，以每股87.88的价格成交5手，共计成交43.94万元。       根据股转系统显示，买方投资机构所在券商机构均为中泰证券烟台南大街证券营业部，卖方所在券商是东莞证券石龙营业部、中信证券北京中关村大街证券营业部中信证券北京紫竹院路证券营业部，分别成交2手、1手和2手。　　而如果按照8.57元计算，成交额仅4.285万元。这么算来，买方一次性亏损近40万元。　　值得注意的是，巨鹏食品在10点46和11点01的时候分别报价860元和 869元卖出，但是没有成交。       据新三板在线获悉，巨鹏食品于2015年4月28日挂牌新三板，其采取协议转让方式，主营蔬菜粮食类农产品及可食用水产品的收购、加工、销售及出口。　　该公司2月6日公告称，拟首次公开发行股票并在境内上市，同时向证监会申请上市辅导备案并办理股票转让方式变更事宜。紧接着在3月9日将转让方式由做市转为协议。　　财务数据显示，巨鹏食品2016年上半年营业收入为1.14亿元，上年同期为1.3亿元，本期较上年同期减少12.31%；净利润为2238.02万元，上年同期为2633.71万元，本期较上年同期减少15.02%。　　实际上，乌龙指事件在新三板屡屡重现，就在3月9日宁波水表因为点错小数点而将19.70元的报价报成1970.00元。　　据资料显示，该公司发生2笔1970元/股的极端价格成交，较前收盘价21.91元/股大幅上涨。　　股转系统表示，此次异常价格成交系投资者误操作所致。　　同时针对宁波水表事件，全国股转公司有关负责人提醒，参与新三板市场的广大投资者应仔细了解相关业务制度，审慎投资，谨慎操作。全国股转公司也将从制度和技术层面研究优化协议交易方式，防范此类事件再度发生。
1490154380000[,,,,,,]$锦龙股份(SZ000712)$ 时机？时机！
1490148598000[,,,,,,]$周冰冰实盘2017(ZH1027924)$@周冰冰天才 卖出煤炭b一半，想借神华东风，谁知道是个小坑，留一半坐等煤炭一季报风来。清仓创业板b，留出资金继续买入$锦龙股份(SZ000712)$$东莞控股(SZ000828)$，坐等东莞证券过会风来！
1490145484000[,,,,,,]$锦龙股份(SZ000712)$$上证指数(SH000001)$ 不要怕，现在美股的资金很早就在找投资标的，这可能反倒利好A股，某报说了美股见顶之时即是A股慢牛之时，这不是没有道理的。
1490144051000[,,,,,,]【博主介绍】证券投资顾问,就职于一证券机构，上交所ETF理财规划师；证星十大名博，多家知名网站名博，视频讲师；十年证券投资经历,多年从事投资咨询工作,对主力短线操作手法有所研究。 【直播特色】利用四大指标：MACD,SKDJ,EXPMA,TOW,形成一套较为成熟的操作体系,利用四大指标分析大盘准确率在70%以上。【投资理念】中线操作原则:一,中线操作,高抛低吸;二,不惧调整,坚定持有;三,切勿频繁换股操作!短线操作原则:一,个股分时图 逐步盘升是吸货;二,吸货当日是否逆市,如是为佳;三,大盘背离是买点;个股加速诱空是买点.四,盘中可全仓,收盘八成以下.个人总结,供参考!【股市座右铭】追跌杀涨!! 【热点解读】宁夏火电企业全面亏损 四央企联名求助努尔·白克力在2017年全国能源工作会议上表示，2017年煤电利用小时数还会更低，估计在4100小时左右。随着煤价的回升和煤电装机的攀升，2017年火电企业面临全行业亏损风险。点评:作为煤炭的下游行业火电企业，无疑是煤炭价格上涨的受害者，煤炭供给侧的持续，导致煤价高升，煤电成本大增，但仍达不到煤电联动调价的标准，且前年发改委下调电力出厂价格，无疑对火电形成双重打击。目前全行业面临亏损，但全国用电量仍在缓慢的增长，可以确信火电仍是重要的供电力量，短期内不会发生变化。作为短期的困境反转型企业，火电的投资价值也会逐步体现出来，在行业低谷时介入，或有不错的回报。不过投资时间周期不会太短，不适合短线投资者。季末MPA大考临近 央行净投放加续作MLF缓解资金压力21日，央行在公开市场操作方面进行500亿元7天期逆回购操作，200亿元14天期逆回购操作，100亿元28天期逆回购操作。利率分别为2.45%、2.60%、2.75%。另外，央行昨日有500亿元逆回购到期，据此计算，央行昨日公开市场方面净投放资金300亿元。点评：央行出手释放流动性，逆回购利率也有望下移，短期内的利空因素也将得到控制，个人仍是看好近期趋势，继续做多为主。【大盘分析】   消息面上，传来北京房贷利率取消九折优惠，转为9.5折，信贷收紧更为明显，加之各地的限购政策，投资房地产已经不是较好的理财手段，就算有钱也肯定没有购房资格了。从这点来看，资金或会流向仍有估值优势的证券券市场，有哪些因素可以吸引场外资金入场呢？一是养老金在今年逐步启动入市，规模也会逐步增加，此时进场和养老金成本一致；二是银行一年期定存利率2%不到，比市场中很多绩优股的股息率还低，从回报率来讲，后者更有优势；三是证券账号兼据银行存款理财的作用，大多券商都有利于闲余资金理财的货基产品，且随时能进行证券交易，如中山证券货基利率在3到4%水平间，完胜银行定存，且可随时取出。四是市值配售的打新政策，据不完全统计，50万的账号资产，全年有望获得10%以上的打新收益率，无疑是较好的无风险投资方式。这些因素，只要你稍懂一点理财技巧和经济常识，就能识别到，与场外的理财市场一比，我们的大A股市场，还是有那么些投资价值的！    板块方面，昨日基建，酿酒，家电，环保板块继续大涨，这些板块上涨持续较久，大多创出了新高，咱不建议去追涨，毕竟市场值得参与的标的还有不少，以上这些板块，大多已经超过合理估值区间，很难有便宜货寻找，不是太好的投资品种。破净的银行股，在内含价值内的保险，低PE高股息的电力，汽车板块，周期性的化工板块，都是存在较好的投资机会，同时多留意大股东增持或产业资本增持的标的，给自己投资加一层保险，更好不过。关于增持股投资，前期也提到不少，操作也会有不错收益的。    今日操作建议：支撑位上移到3240点处，此处不破仍是赚钱效应体现之时，大盘成交量维持在60均量线处，仍保持一定的活跃度，不会太差，技术角度讲此时有加速上行的可能，仍不到亢奋的环节，主观仍是建议持有待涨为好。山不在高，有量则行！后期策略一，坚定价值投资为主，选择低估的金融，电力，汽车，消费个股进行中长期操作为主，单个板块持仓不宜超过三成仓，同时结合打新策略来实现年化10%以上的稳定收益，股息加打新收益为主。 , , 三，市场中的一些稳定获利性机会，如合并重组套利，封闭式基金，债券，定增折价基金，对于资产量大的朋友较为适用。以上投资方法可供参考，相关个股文章中不便提及，不妨多关注个人直播，会有所提示。
1490100441000[,,,,,,]$锦龙股份(SZ000712)$深交所指出，上市公司或者大股东因涉嫌证券期货违法犯罪，在被中国证监会立案调查或者被司法机关立案侦查期间，以及在行政处罚决定、刑事判决作出之后，未满六个月的，上市公司大股东不得减持股份，协议转让受前述规定的限制。呵呵
1490087926000[,,,,,,]我刚刚调整了雪球组合 。最近大盘将攻击3300，大金融将负责总攻，选择证券标的锦龙股份，其参股公司东莞证券即将IPO。
1490082883000[,,,,,,]03-21周二今日操作：新宏泽：锁仓，有问题。牛股要勇于做T啊，这是我现在欠缺的，新宏泽坚定看到100+。锦龙股份：锁仓，没问题。虽然基本面分析锦龙股份最好，但是看到东莞控股的形态、股价、位置、盘子，也许应该五五开配置的。南洋科技：开盘-1%卖出，没问题。不及预期就走人，不带走一片云彩。中铁工业：+1%买入，有问题。妈的，好好的二局改成这个破名，股性都变了，一带一路也没有起来，赌错了明天出局。今日好思路：竞价：拓日新能作为高送转最低价股，应该竞价上，无奈没有仓位；早盘：易事特大幅低开，新宏泽竞价走低，盘中上冲应该做T；午盘：白酒、家电、中药价值蓝筹股的慢牛走势，与次新股板块形成两条不同的主线。明日预判：热点还是在次新股、高送转，对于高送转，大跌大买啊同学们！关注：新宏泽、陇神戎发、白银有色、重庆建工。
1490080830000[,,,,,,]【20170321操作总结和明日计划】1、大盘：上涨。2、热点：无。3、均线：收5，10，20日均线上。4、操作指数：5。5、操作：今天无操作，继续持有   ，锦龙股份 。今天白酒很火爆，伊力特都涨停了。锦龙表现也不错没让我失望，应该还有机会，继续拿着。
1490080478000[,,,,,,]三连阴。。。券商板块今天再次下挫，证券公司指数收盘跌0.66%，成份股中仅 （2.92%）、 （0.1%）、 （0.05%）小幅上涨，其余均飘绿。券商ETF二级市场下跌0.51%，报0.974元。
1490079057000[,,,,,,]$锦龙股份(SZ000712)$发生了什么事，什么时候我的持仓股也玩中国红了，该怎么办
1490078582000[,,,,,,]【锦龙股份 东莞控股】主力提前进驻？？
1490076688000[,,,,,,]全员飘绿，只有 顽强的红着话说锦龙股份真是券商股中的一股清流，在券商板块整体下行的趋势下，依然保持着小碎步上升，从3月6日至今，累计一个涨停板，颇有龙头股的风范
1490067888000[,,,,,,]$锦龙股份(SZ000712)$卑鄙的内幕交易进行中，小散只能跟随。
1490067304000[,,,,,,]$锦龙股份(SZ000712)$ 呵呵，锦龙今天有戏，果然没让我失望。。
1490060599000[,,,,,,]$锦龙股份(SZ000712)$最近什么情况，看不懂了。是不是马上我要解套了！！
1490024990000[,,,,,,]【20170320操作总结和明日计划】1、大盘：上涨。2、热点：无。3、均线：收5，10，20日均线上。4、操作指数：5。5、操作：今天无操作，继续持有    ，锦龙股份  。
1489994642000[,,,,,,]尽管下午极力反弹，但券商板块今天的跌幅仍居前，截至收盘， 跌0.57%，个股仅三家微涨，涨幅最大的 ，收涨1.84%。二级市场今日下跌0.81%，报0.979元。
1489989788000[,,,,,,]$锦龙股份(SZ000712)$难道今晚有公告这走的不正常啊
1489985952000[,,,,,,]$银华日利(SH511880)$我的中山证券给我说他们只能买卖，不能申购赎回银华日利，有这可能么？？？
1489980749000[,,,,,,]$锦龙股份(SZ000712)$ 一波慢牛行情可期。
1489978079000[,,,,,,] 东莞证券上市在即，底部抬升。
1489976371000[,,,,,,]  如果你要配置 要多配置一点东莞。因为这个最确定  锦龙杨总 还不知道咋样呢
1489975436000[,,,,,,]【东莞证券IPO，目前在深圳中小板排22位】关注IPO影子股 锦龙股份 （占40%）东莞控股（占20%）
1489925429000[,,,,,,]$锦龙股份(SZ000712)$ 史无前例的影子股，我看你怎么演下去。
1489756083000[,,,,,,]$锦龙股份(SZ000712)$这周又没成功，下周继续跌
1489738680000[,,,,,,]03-16周五今日操作：数据港：开盘卖出，没问题。昨天张家港行的停牌，就预感到今天不好了，于是开盘就卖出，不贪心。新宏泽：锁仓，没问题。盘中有做T的机会，但是不想做啊，这么高换手率的高送转，感觉可以拿到股东大会了。江泉实业：锁仓，有问题。复牌补涨逻辑，中昌数据已经三连板了，如果江泉周一再不涨，可能是有逻辑之外我不知道的消息，那么我就割肉了。锦龙股份：尾盘-2.5%买入，没问题。东莞证券IPO的影子股，感觉时间点近了，可以拿个小中线。今日好思路：竞价：白银有色、中原证券很强势，但仍需观察；早盘：白银有色、中原证券破板直接带崩次新股人气，今日不宜开仓；午盘：大盘指数在重要关口时，应当密切关注券商股的变现，往往具有极强的联动性，回想2月17日那天大盘的下跌，同样是中原证券带崩的，历史何其的相似。明日预判：周一如果大跌，可以抄底一些次新股高送转。关注：易事特、新宏泽、中原证券、白银有色、张家港行。
1489734980000[,,,,,,]【20170317操作总结和明日计划】1、大盘：大跌。2、热点：无。3、均线：收5，10，20日均线下。4、操作指数：4。5、操作：今天无操作，继续持有    ，锦龙股份  。昨日大涨，今日大跌，今天把昨天的涨幅都全抹去了，挺好的走势，被一根大阴棒给搅乱了。昨天看到大盘跳空缺口，感觉就不保险，没想到今天就回补了，这么快。。前期大涨的，次新股纷纷回调，或许行情告一段落。莫当接盘侠。
1489733489000[,,,,,,]$锦龙股份(SZ000712)$ 走的什么鬼。。。
1489723373000[,,,,,,]$锦龙股份(SZ000712)$尾盘会不会继续拉升五个点啊？
1489720387000[,,,,,,] 年度报告出来啦，为什么有种要拿出来鞭笞的赶脚咧？2016年归属于母公司所有者的净利润为3.66亿元，较上年同期减59.97%；营业收入为22.12亿元，较上年同期减24.54%；基本每股收益为0.41元，较上年同期减59.80%。
1489716728000[,,,,,,]$锦龙股份(SZ000712)$ 一大早砸盘让大家知道周末ipo没有，这么笨的主力？至少装一下呗！
1489714692000[,,,,,,]$锦龙股份(SZ000712)$ 10点钟不启动，今天估计要出大事。
1489672830000[,,,,,,]$锦龙股份(SZ000712)$ 周一东莞证券会放行了吗？
1489658195000[,,,,,,]$锦龙股份(SZ000712)$财报速递：锦龙股份去年全年净利3.66亿 同比下降59.97%3月16日，锦龙股份发布2016年年报，公司2016年1-12月实现营业收入22.12亿元，同比下降24.54%，证券行业营业平均收入增长率为-31.66%；归属于上市公司股东的净利润3.66亿元，同比下降59.97%，证券行业平均净利润增长率为-3。
1489648778000[,,,,,,]【20170316操作总结和明日计划】1、大盘：大涨。2、热点：次新，券商股。3、均线：收5，10，20日均线上。4、操作指数：6。5、操作：今天无操作，继续持有   ，锦龙股份  。昨夜美国加息，有利空出尽的味道，今天大盘跳空高开高走，放量大涨，其中次新股和券商股领涨，中原证券，华安证券等涨停。锦龙股份虽然没有爆涨，但走势还是比较健康的，继续持股不动。在关键时刻，券商股大涨是好事，券商股是行情的风向标，券商走强，行情可以上一台阶，可以确定大盘行情的持续性。
1489648538000[,,,,,,]$锦龙股份(SZ000712)$ 下周能不能排上队啊
1489635390000[,,,,,,]$锦龙股份(SZ000712)$ 可以逢低买入，中线持股。
1489628622000[,,,,,,]$锦龙股份(SZ000712)$我想说我也是次新股。。 毕竟40%参股呢 虽然有不确定性  先拉上去再说以后的事吧
1489584073000[,,,,,,]看一下上面的图，锦龙股份之前在底部进行了比较长时间的震荡，将近一年，那么问题来了，一般来说，长线主力需要半年到一年的时间来吸筹，通过底部震荡的方式，让很多人割肉从而捡到便宜筹码，锦龙股份震荡了将近一年，既不跌破也不突破，不跌破是因为怕跌破自己的成本，一旦把自己深套赚钱压力也就比较大了，而不突破呢？是为了防止很多人看多，从而不愿因抛出自己的筹码，还造成很多的跟风盘，这样主力吸筹就比较吃力了。主力完毕后就会拉升，要把之前箱体里面跟随的一些筹码给洗出去，就是的动作，我们看得出来，这里确确实实洗盘了，之前突破26.59后就开始调整，而且波动还比较剧烈，前几天还造成了一个放量大跌。这里应该把不少人洗出去了，在洗盘阶段，主力一般不出货，只做一些比较简单的T，拿来维持运营。最后船哥带大家看下筹码分布，很明显，筹码已经渐渐转移到21.33这附近，对应的柱子越长，说明筹码越集中，这样看，似乎很多人在这里实在受不了割得差不多了，所以后市锦龙股份大家可以关注关注。--------------------------------------下面是股市重要新闻、公告（经船哥筛选，无用信息不录入）【高送转】国瓷材料(300285)：2016年度分配拟10转10派1 一季度业绩预增约两倍中科电气(300035)：2016年度分配拟10转10派1横店东磁(002056)：2016年度业绩同比增36% 拟10转10派0.6奥拓电子(002587)：2016年度分配拟10转5派1【其他】天顺风能(002531)：董事长增持90万股中技控股(600634)：更名为“富控互动”国投电力(600886)：获长江电力(600900)及其一致行动人举牌 持股比例达5%
1489565120000[,,,,,,]【20170315操作总结和明日计划】1、大盘：震荡。2、热点：园林。3、均线：收5，10，20日均线上。4、操作指数：5。5、操作：今天无操作，继续持有  ，锦龙股份  。老白干被关快2个月了，希望下周前能放出来。。
1489547961000[,,,,,,]最近一段时间 表现不错嘛，不知不觉K线已经七连阳啦
1489546730000[,,,,,,]$锦龙股份(SZ000712)$                                锦龙股份分析及操作建议    黑天鹅事件是危机，但危中有机，危后出机。最大的危机会出现最大的暴跌，也就会形成最好的投资良机。公司介绍    广东锦龙发展股份有限公司是一家主要从事投资参股证券公司业务公司。主要控股公司：1、中山证券有限责任公司、参控比例66.05%、投资金额25.97亿元、净利润7.9亿元；2、东莞证券股份有限公司、参控比例40.00%、投资金额18.97亿元、净利润14.53亿元。机会分析东莞证券IPO在即2017年3月3日，郑州三晖电气股份有限公司、快意电梯股份有限公司首发已经获批！！！发行后，锦龙股份对东莞证券的持股比例下降到36%。2、负面消息不断    东莞证券董事长辞世和锦龙股份实际控制人行贿。3、机会分析据公司2017年1月17日公告，预计2016年1-12月份归属于上市公司股东的净利润2.74亿至4.57亿元，同比下降70.00%至50.00%。自己统计下：（1）招股说明书显示，2013年至2015年及2016年6月各期末，东莞证券净利润分别为2.63亿元、6.27亿元、14.61亿元、3.45亿元。2016年下半年市场整体好于上半年，据锦龙股份公告显示，东莞证券2016全年净利为8亿元，锦龙可得净利约2.88亿元。（2）据锦龙股份公告显示，2016年全年中山证券净利润3.9亿元，锦龙可得净利2.57亿元。综合来看，锦龙股份2016年净利润约5.45亿元。2017年3月3日，公司股价为21.13元，总市值189亿元。操作建议券商股，业绩实实在在的，2016年大家日子都不好过，比惨而已；券商板块中市值最小；东莞证券IPO在即，交易性机会还是有的，当然最大的风险也在这里了。IPO会不会被否？从东莞证券的股权结构来看，上市是必然的，但锦龙可能一场空，因为国进民退，东莞控股走势明显强于锦龙是有原因的。操作计划：短线角度跌破收敛三角形下沿，20元一线，30%仓位买入（止损位自设）；趋势向上， 20%仓位买入；东莞证券IPO公布日兑现！中长线角度如果IPO被否，股价大幅下挫，反而是买入东莞控股的机会，锦龙就算了。6、我的成本：21.48元，22.38元。
1489487617000[,,,,,,]$锦龙股份(SZ000712)$ 券商板块今天选错了龙头，不过上证已经站上日线的多条均线，下面支撑明显，不退则进，进军3300只是时间问题 
1489476150000[,,,,,,]【20170314操作总结和明日计划】1、大盘：震荡。2、热点：无。3、均线：收5，10，20日均线上。4、操作指数：5。5、操作：今天减仓锦龙股份，继续持有 ，锦龙股份  。今天减了点锦龙股份。昨天买入锦龙的原因是，大盘比较强势，而锦龙还是跌的，有补涨需求，而且上方缺口不远，应该近期回补，另外还有东莞证券ipo利好。今天果然上涨回补了缺口，昨天说了是短期操作，所以减了仓。。
1489469484000[,,,,,,]$锦龙股份(SZ000712)$垃圾
1489459058000[,,,,,,]确实申报了，正常情况下5个工作日内受理。估计下周  会有公告。相比  和  参股的东莞证券而言，凤凰参股2亿股的南京证券，确定性更大。搜索了一圈朋友圈还没相关文章。
1489457136000[,,,,,,]$华铁科技(SH603300)$ 15.52卖出华铁科技  22.80买入锦龙股份。
1489455799000[,,,,,,]  不用再怀疑了。
1489404099000[,,,,,,]来源： 2017-03-13 09:28:05 分级基金网        从2月公布的24家上市券商业绩看，有11家上市券商营业收入环比实现增长，有13家上市券商营业收入环比下滑。24家上市券商2月份营业收入总计92.73亿元，环比1月份增长3.5%；以可比券商业绩计算，营业收入合计同比增长6.06%。在净利润方面，24家上市券商中有17家上市券商净利润环比实现增长，其余7家上市券商净利润均有程度各异的下滑。24家上市券商净利润合计36.92亿元，环比增长23.75%；以可比券商业绩计算，净利润实现36.80亿元，同比增长33.58%。其中，太平洋证券、东方证券、招商证券、东兴证券、西南证券、东吴证券在营收和净利润方面都有较好的表现；长江证券、西部证券、山西证券、国金证券等券商业绩环比下滑明显。经纪业务和自营业务因行情的持续攀升而有所提振，也给行业整体的业绩带来了积极影响。　　经纪业务：2月日均成交额为4457亿元，环比增长19.7%，2月整体成交额为6405亿元，环比增长19.7%。由于日均成交额有所放大，经纪业务收入有明显的增长。　　投行业务：2月共核发3批IPO，融资总额不超过188亿元，1月核发3批IPO，融资总额不超过127亿元。但2月证监会发布了再融资新规，再融资的监管进一步加强。预计未来增发融资规模有较大的下滑压力，而IPO规模仍将维持目前的节奏。再融资规模的下滑会给券商的投行业务收入带来负面影响，但由于再融资的整体费率偏低，对券商的业绩收入影响不会太大。        2月券商债券承销规模为1893.8亿元，环比下滑24.53%，其中企业债承销规模企稳回升，1月企业债承销规模仅为16.0亿元，2月企业债承销规模提升至47.4亿元，但公司债承销规模有所下滑，2月承销不足300亿元，与1月接近500亿的水平相去甚远。股权承销业务方面，受益IPO核发的提速，首发融资规模仍然有望维持高位，再融资规模受制于新规未来下降趋势明显，对股权承销业务收入整体还比较乐观。但债券承销方面，尤其是公司债和企业债承销规模近两个月呈现了较为低迷的状态，这使得我们比较担忧债券承销业务收入的增长前景。　　信用业务：两融日均余额有小幅下滑。2月两融日均余额为8929亿，环比1月的9096亿下滑1.84%。股票质押业务规模延续增长态势，截止2月底，股票质押业务规模达到14000亿元以上。整体来看，信用业务依旧保持平稳发展态势。　　资管业务：集合资管产品1月发行份额为56.61亿份，环比下降64.60%，其中股票型、债券型均有较明显的下降。　　自营业务：2月上证指数上涨2.61%，1月上证指数上涨1.79%。2月创业板指数上涨2.17%，1月创业板指数下跌3.86%。2月中证全债指数下跌0.17%，1月中证全债指数下跌0.22%。整体来看，自营业务进一步延续回暖态势。　　东莞证券认为，2月上证指数延续缓慢攀升格局，但券商指数反应冷淡，表现不及整体市场。证券行业整体的业绩延续企稳回升态势，2月业绩环比、同比均实现增长。在估值方面，行业整体的PB估值2倍左右，处于较低区间。未来一季度业绩同比大幅增长的确定性较高，券商整体PE(TTM)有望进一步下滑，有助于支撑股价。
1489394200000[,,,,,,]【20170313操作总结和明日计划】1、大盘：震荡。2、热点：无。3、均线：收5，10，20日均线上。4、操作指数：5。5、操作：今天买入了锦龙股份，继续持有   。大盘今天探底回升，收到了各均线之上，原本休息的计划，也在尾盘的时候做了改变，买入了 ，短期操作。
1489383525000[,,,,,,]$东莞控股(SZ000828)$大家觉得东莞证券合理市值是多少亿？
1489373649000[,,,,,,] 上周沪深300指数走平，涨跌幅为0.00%，证券板块涨跌幅为-0.61%，个股仅三股上涨，分别是方正证券（7.24%）、锦龙股份（7.2%）、中原证券（4.38%），跌幅最大的是华安证券（-4.22%）。重要数据：上周两市日均成交额4593.22亿元，环比下降0.58%，日均换手率0.79%，环比下降0.79个BP；截至3月9日两融余额9132.55亿元，较上周上升0.39%；股票质押新增规模92.98亿元，环比下降34.53%；股权融资规模257.91亿元，环比上升72.34%，首发和再融资规模66.54和191.37亿元；债券融资规模7994.38亿元，环比上升13.77%；期货成交金额6.8万亿元，环比上升1.66%。机构观点：长江证券：券商业绩进入环比改善通道，加大券商板块配置。2月券商业绩环比增长24%，资管和投行成为重要增量，净利润贡献区间为5%-15%，券商板块阿尔法属性逐步增强；监管层定调资本市场监管坚持稳中求进的基调，政策空间张弛有度，较2016年更加温和。当前券商板块PB估值不足2倍，阶段性低点，考虑IPO业绩逐步兑现和自营影响可控，低估值券商是良好的相对收益品种！推荐中信证券、国金证券。平安证券：2016年，证券行业业绩大幅下滑，但由于券商每月公布月度数据，所以市场对此已有预期，且已经在估值中有所反应。目前，券商股仍有配置价值，主要是由于目前估值仍然较低，存在一定安全边际；在大盘企稳回升时业绩有望触底回升，且弹性较好；此外，券商还有望享受扩大直接融资规模、加强多层次市场建设和对外开放等政策红利。
1489128843000[,,,,,,]【参股券商尾盘异动】锦龙股份、东莞控股均拉升涨逾4%，消息面上，东莞证券IPO将近。
1489128806000[,,,,,,]$锦龙股份(SZ000712)$怎么上去，怎么下来
1489128676000[,,,,,,]$锦龙股份(SZ000712)$ 没有大单
1489128194000[,,,,,,]东莞证券有戏了 嘿嘿 哈哈
1489128080000[,,,,,,]东莞证券IPO 又有什么进展了吗？  锦龙股份 和 东莞控股 同时拉了起来！
1489128043000[,,,,,,]$锦龙股份(SZ000712)$心好痛。。
1489127873000[,,,,,,]$锦龙股份(SZ000712)$估计周末有利好啊
1489127834000[,,,,,,]$锦龙股份(SZ000712)$ 啥状况
1489127715000[,,,,,,]$锦龙股份(SZ000712)$走早了。。。妈蛋
