1492744573000[,,,,,,]$中远海控(SH601919)$ 股市一蹦，鬼家队就得拉你吧，再买点。
1488359922000[,,,,,,]近几天都无操作，风平浪静的日子需要耐心等待。的走势也验证了之前的判断，过了年线的位置，上涨的概率是比较大的，接下来的也是，需要持续观察。验证方法的正确性、有效性，需要对这一情况持续记录，不断对个股进行实验、观察，采用科学的态度，不能有侥幸、沾沾自喜的心理。最近几天会有新账户开始操作，新账户的建仓是个持续的过程，和原有账户仓位开始时肯定会有不同，时间或许半年，或许一年，首先保证的是不亏损，然后再是赚钱。钱是赚不完的，如果心急则更有可能乱了手脚，心态不对，一步错步步错，我们要避免这种情况，并且目前也不是遍地黄金的情况，更何况涨跌不可测，涨了我们就先观察，跌了我们还可以买更多，防止大的亏损是我们的首要目的，不亏损的基础上再考虑赚钱。为新账户也选了几只待买入个股，按优先级买入顺序如下： 深成指B  国泰君安  大地传媒  七匹狼      申万宏源。仅供交流，勿仿
1488354564000[,,,,,,]3月1日，一个崭新的月份，中午顶着北京的大风，走路去北京城市学院试讲证券投资学课程。从北京大学医学部穿过，出北门，上北四环，往西就看到奥运大厦了，边上就是。在北大医学部里走的时候，真是大风起，尘土飞扬，医科的大学女生们都捂着个嘴，跟那疾走。我就琢磨，这也是北大，国家每年拿多少经费供养着，就不能把绿化做好一点吗？黄土不露天，说了多少年了。正说着，又是一阵大风，裹着尘土过来，差点把眼睛迷了。操，我不琢磨了，小心走路吧。到了地方，试讲比较顺利，讲的技术分析里的指标这块，内容熟悉到，做梦也会讲，不会有问题。我还介绍一个九鼎投资的朋友一起来，原来的意思是和我各讲一个班，因为他本科是学数学的，硕士学的金融工程，和我比较互补，本来说是一起来讲这个课程，他偏重数学和理论的部分，我偏重实践和分析的部分。结果，这哥们被安排讲投资组合课程了，还在本部，不用去顺义。得了，我只能争取，能把课排到下午吗？早上六点半发班车去顺义，真起不来啊。上了讲台，别晕倒，就不错了。上午还专门截图了顺丰的一字板，放到PPT里，当时说，转了一字，一开就完了。结果回家一看，已经开了。顺丰的故事，到今天就基本结束了。恭喜今天买入的资金，你们有希望成为中国石油、中国远洋、中国神车之后，又一批为中国的证券事业，在高位站岗放哨的人。如果有人问你：在高位站岗，套牢又亏钱，值得吗？你一定要反问他：中国的证券事业发展，值多少钱？？？？？？昨天的另一只领涨股， 四通股份，非常漂亮，早盘冲起一波，略做调整，再起一波，直接上涨停，封死到尾盘。从顺丰手中抢过黄色领骑衫，继续成为今天的领涨股。代码里两个38，三八节快到了，使劲涨吧。截止3月1日收盘， 上证指数上涨5.20点，涨幅0.16%，报收于3246.93点。板块方面，涨幅超过两个点的板块有 ：铜，涨幅2.42%。软饮料、水泥、其他商业，涨幅接近2，分别是：1.91%、1.89%、1.85%。上海上涨703家，下跌497家。沪深涨停46家，跌停6家（韵达差几分钱，我也算上了，为了欢迎明天顺丰也出现在这里，做个预热）。今天的两只领涨股，一只是继续领跑的四通股份，另一只，前面讲到水泥又起来了，那还用说吗？就是 ，能否再来一炮？值得期待一下。（也可能裤子脱了，发现下的是葫芦娃）收盘记录，每天会描述当天市场情况，总结昨天领涨股表现，选出当天领涨股。如果你觉得有些价值，就请关注我，不要错过每天的更新。今天去试讲的PPT，如果有需要的朋友，可以打赏本文，私信告诉我邮箱，我会尽快发送给你。今天试讲的内容，很实用，有兴趣的，可以回去研究一下。
1488336891000[,,,,,,]$中远海控(SH601919)$ 20日线压顶，垃圾垃圾，卖出评级。买H股还差不多3.77。
1488246733000[,,,,,,]$中远海控(SH601919)$ 6.4以下不值得关注
1488204844000[,,,,,,]刘士余主席昨日指出，凡是搞坏了的公司，往往不注重公司党的建设：石化油服巨亏160亿；中海油服巨亏117亿；中国船舶亏28亿；中远海控亏99亿；中国一重亏57亿；云天化亏32亿；山东钢铁亏81亿；安源煤业亏20亿；东方电气亏20亿；ST钒钛亏36亿…… 这些公司党建工作值得加强了！
1488185250000[,,,,,,] 【小渔看策略】本次调整说明了周期股的短暂熄火，zjh监管力度有所加强。在半年报CPI和PPI公布之前，基建对于GDP的影响尚不能证伪，二季度经济下行的趋势只是推测。因此目前来看：价值股>成长股>消费股>周期股。   $中远海控(SH601919)
1488162101000[,,,,,,]$中远海控(SH601919)$ 港股1919比A股601919便宜一倍,这就是为什么运费涨了,1919涨了,601919就是涨不动,大户都从沪港通进便宜货了,A股海控只有慢慢向上磨了
1488158728000[,,,,,,]短线可以观看的 ，关注短线中材节能，中长线，不见追的是  
1488154057000[,,,,,,]601919
1488119104000[,,,,,,]中远海控5.8贵航股份23中船防务31东方集团7.2
1487918539000[,,,,,,]回复: //:回复:其一）我不太擅长烟蒂类投资，或者我不太做烟蒂类投资，尤其在最近几年做的非常少。其二）下面转帖之前的文章，不过和管兄讨论的不是一个频道上的问题。我这里只是说周期性特征的问题。管兄这篇非常实用之处在于讨论重资产行业的利润可能产生巨幅波动的原因及我们可能潜在可以捕获的一些投资机会。（虽然我不太做这方面的投资）其三）再次声明，我不擅长、以及不太做烟蒂类投资，以及类似格雷厄姆式的投资。但我做周期性公司的投资，以及做B4B5类的投资。------------------------------------------【闲】重资产行业的幻境之前在聊拍拍脑袋的估值方法时提到过永续10%净资产收益率的情景（以固定的10%的贴现率为基准）。接着这个话题可以继续谈一下相关的一些逻辑，再者，这里只是想提出一些问题，有很多问题，我也是说不清楚答案的。　1）内在价值的定义是净现金流入的贴现值总和，这是一个概念，下面提到的一些情形也是一些概念或逻辑的问题，而不是实际上的估值计算方法。　2）这里想讨论的公司类型是那些在初期需要较大的固定资产投资的行业，比如我们可以考虑类似          这些公司。　3）我们可以试着考虑这样一个理论状态下的公司。它的长年平均净资产收益率为8%，每年分红率为净利润的50%，假设存续期间为20年，并于20年后将以80%的净资产值被清算。我们可以试着以此为条件估算内在价值。同理，我们也可以分别把净资产收益率调整为6%或其他数值、分红率调整为0%-100%等，以及调整存续期间为10年或30年，或调整最终的清算价值，并分别计算其内在价值。　4）通过上面的估算，我们就可以发现，对于长期平均净资产收益率低于10%的公司而言，假设我们将贴现率设置为10%的固定值，那么他们的分红率越高对投资越有利，或者尽早清算将显得更有利一些。这只是一种理论的状态。当我们试图通过非常长期的持有这一类的公司来获得令人满意的收益，我想是值得怀疑的，对于能够获得较低成本的资金的保险公司等投资者可能是较为有吸引力的吧。当然，有时候也会投资这一类的公司，假设他们的价格非常低廉的话，就有可能不至于亏损，或偶然性的有机会通过市场的估值恢复来赚到一些钱。　5）下面，问题就来了。　6）当行业的周期性特征显得较为明显时，就有可能发生较为显著的问题。我们通常会看到，当行业盈利状况较好时，这些公司会大幅增加资本开支，这其中除了经营者对未来过度的乐观之外，还有对潜在的市场地位下降的恐惧。我们对此很难做出谴责，也无可奈何。对于多数的经营者而言，确实会较为容易陷入骑虎难下的境地，同时也会有一些经营者显得过于激进。中国远洋在周期高峰期不断增加资本开支是一个例子。包括中国石油在内的能源等大宗商品领域的企业，以及这些行业整体，我们都可以看到它们不断增加的资本开支。　7）在周期高峰时期，做出资本开支决策时，经营者们往往会采用过高的利润预期。而实际上，因为很难获得如预期一样的收益，相当于该资本开支相应的是获得了较低于预期值的内在价值。比如，中国石油或中海油服等公司说投资100亿于某个项目，它当然会做出详尽的投资回报计划，但结果是，它付出100亿后，实际形成的是仅有50亿内在价值的资产。当这些投资累加发生时，实际情况是公司的总内在价值已经缩水。　8）对于每一项这些投资，对于外部投资者而言，很难做出恰当的评估，这是一个问题。只能大体上对这些投资的内在价值做出偏于谨慎的推算，或者可以回避做这些较为无用的工作，而直到周期进入低谷时期时对公司的盈利能力做出评判。　9）对于陷入骑虎难下的境地的公司，走出泥潭需要的时间可能很长，多数竞争对手可能都把希望寄托于其他对手的率先退出，最终可能导致几乎所有的参与者耗光自身的资源，少数留下的公司可能会进入下一个周期，以及在下一个周期中会吸引新的一些企业进入。　10）这一领域的投资确实是一个比较困难的事情，尤其我发现很多投资者试图在周期下行的过程中给出估值，这是有较大的逻辑问题的。在我看来，这里不是要给这家公司给出多少估值的问题，因为多数时候，完全无法给出估值，谁知道他们会不会挣扎到耗光所有的资源呢？同时，因为它们通常有着较高的固定成本比例，往往很难通过中止一部分资产的运营来降低损失。　11）相对而言类似招商局国际、恒隆地产、长江电力这一类企业可能显得稍微容易一些。相对而言，收入端的变化平缓一些。　12）对于重资产而言，净资产是虚无的，而负债是实实在在的。在理解周期性特征之前，匆忙基于市净率的考虑作出估值，或仅仅因为较低的市净率而做出买入决策，是值得商榷的。当然，在周期高峰期，以市盈率给出估值就显得更加危险了。我喜欢投资于周期性行业。
1487917200000[,,,,,,]$中远海控(SH601919)$ 海特，海控，一个天上一个地下
1487907439000[,,,,,,]撰文：中国金洋资产管理董事总经理 郭家耀美股再度破顶，投资者憧憬减税政策及市场加息预期升温，带动三大指数再创历史新高。美元保持强劲，油价造好，金价则轻微偏软，美国十年期债息温和上升至2.43厘水平。内地股市表现理想，沪综指再创近月新高。港股受蓝筹业绩拖累而反复下滑，一度失守24,000点水平，成交维持活跃。消化业绩消息后，指数进一步下滑空间不大，预计恒指在23,800点水平有不俗支持，后市仍有望上试24,500点阻力。个股方面，业务重组后，以集装箱航运及码头业务为核心业务，截至去年6月底，自营集装箱船舶304艘，运力达161万标准箱，船队规模位居全球第四，分别经营207条国际及36条国内航线。码头业务方面，全球21个港口经营集装箱泊位，年处理能力达6,575万标准箱。虽然近日股价累积一定升幅，但由于行业进入复苏周期，加上公司营运杠杆较高，业绩对运费变动相当敏感，预料股价仍有上升空间。(笔者为证监会持牌人仕，本人及客户没持有上述股份)
1487896056000[,,,,,,]今天可以关注的，短线看看就行，稳妥的短线关注，中长线
1487861146000[,,,,,,]【中证头条】商务部发文　推进重要产品信息化追溯体系建设23日从商务部获悉，商务部、工信部等七部委发布关于推进重要产品信息化追溯体系建设的指导意见，部署完善追溯标准体系、推进追溯体系互联互通等基本任务。指导意见指出，目标到2020年，初步建成全国上下一体、协同运作的重要产品追溯管理体制、统一协调的追溯标准体系和追溯信息服务体系；引导企业将追溯体系建设与信息化改造升级相结合，鼓励企业以建设追溯体系为契机，提高信息化、智能化管理水平。点评：消费品的安全日益受到广大民众和国家相关部门的重视，政府的相关投入激增是确定的，将为行业内公司打开成长空间。相关上市公司可关注新大陆(000997)，公司在食品溯源等二维码延伸领域有着非常明显的优势，公司在溯源领域首创嵌入式电子秤，而其产品也占到目前农业部相关产品采购份额的70%以上。远望谷(002161)专业从事超高频RFID研究和发展，现拥有5大系列60多种射频识别产品。　　【中证聚焦】小金属轮番涨价　有钱无货成”新常态”22日，国内黑钨精矿上涨每吨1000元，报价7.5万至7.6万元。钴、锑、镁、钼和稀土等稀有金属价格也在近期轮番上涨。统计显示本月以来电解钴累计上涨28%，涨幅居前。锑锭、钼精矿等品种累计涨幅也分别达到9%和2%左右。点评：从去年开始，部分小金属品种已出现复苏态势。价格回暖驱动企业盈利修复，行业景气度逐步回升。目前已有23家稀有金属板块上市公司预告去年业绩，其中18家公司预盈，且16家实现净利增长，而2015年有一半企业为亏损。目前钨砂供应增长较慢，矿山挺价惜售；钴行业受益于新能源汽车需求大增，导致供需缺口，有公司甚至表示目前没货；稀土、钼则主要受到国家收储和“打黑”行动的带动。相关上市公司可关注洛阳钼业(603993)、格林美(002340)、厦门钨业(600549)等。【产经观察】BDI指数重返800点　干散货航运周期复苏将开启据最新消息，波罗的海干散货指数上涨3.6%至806点，重返800点以上。业内人士认为，2月将是BDI指数年内低点，2月下旬开启反弹行情。干散货航运周期复苏已经开启，中长期仍有上涨空间。另据了解，3月集运班轮公司还计划集体涨价，主流航线运价预计将有一定幅度的上调。目前集装箱需求已经回升，价格由2016年底的1600美元/TEU提升至今年一季度的1800至1850美元/TEU，相关海运概念股如中远海控(601919)、中远海特(600428)等有望受益。多国正加速部署　窄带物联网技术商业应用加速近日，共享单车行业领军企业ofo宣布与中国电信、华为合作共同研发基于窄带物联网NB-loT技术的共享单车智能解决方案，中兴通信正式发布智能停车系统NB-IoT版本，同时中国电信表示将于今年6月建成全球覆盖最好的窄带物联网。有分析指出，中国、北美、欧洲等地多家运营商正加速部署NB-loT，当前NB-loT规模化商用已呈加速之势，建议关注宜通世纪(300310)、东信和平(002017)。
1487860840000[,,,,,,]$中远海控(01919)$ ccfi基本上接近14年年底水平了 关键是行业整合 油价可是12-14年的一半。所以整体估值而言要高于12-14年的估值中枢。2-2.5PB比较合理这玩意不能看pe估值
1487856327000[,,,,,,]好文关注
1487846411000[,,,,,,]$中远海控(SH601919)$ 能不能突破。愁死我了
1487836167000[,,,,,,]$中远海控(SH601919)$ 昨日落袋为安，休整一阵子
1487823819000[,,,,,,]今天我们推荐关注  。从浮筹分布（VWAP）看出，该股在3.15附近都有支撑，而阻力主要来自目前价位3.88左右：从比特港独家券商龙虎榜上可以看出，近一月来包括港股通资金、德意志银行在内的中欧资金积极买入，而美国、香港资金流出。基本面上，多家券商都给予增持评级，由于该股所在航运业有望在2017年复苏，供给及需求环境都转为有利，由于目前正进入复苏周期的初步阶段，相信公司可称为主要收益标的，因其营运杠杆较高，对现货运费更为敏感。兴业证券认为，2016年行业大重组使得集中度提高，经营主体间更容易达成默契，控制运力投放，保障运价。因公司盈利弹性大，2017年盈利有望大幅改善。  若想获取更多更全的每日异动个股提示，投资者可点击下载“”并解锁今日异动功能：    
1487816907000[,,,,,,]关于比价，还举个栗子。中国远洋、中远海特、宁波海运，同质企业。11月都来过一波行情，后来调整了，现在前两家都已经过了11月的高点，那以后宁波海运是不是会更强呢？大概率就是这样的。同质性很强的票，比价效应在轮动选股的时候还是有点用处的。
1487814390000[,,,,,,]  可以继续持有，趋势目前依然是多头，回落关注5日线支撑，不破即可。整体控制好仓位
1487812942000[,,,,,,]2月20日，国务院国资委在京召开了中央企业、地方国资委规划发展工作会议。国务院国资委副主任、党委委员黄丹华出席会议并作了重要讲话，全面总结了2016年规划发展工作，研究提出了2017年规划发展工作思路，部署了2017年规划发展工作重点任务。中国电子、中国远洋海运、国家电力投资、招商局集团、北京市国资委5家单位分别做了现场经验交流，国资委规划发展局局长邓志雄主持会议并作了会议总结。会上，中国电子副总经理杨军作了《强化战略引领、推进战略实施，开启中国电子改革发展新征程》的发言，介绍了中国电子战略规划和投资管理主要方法和成果。一是突出“规划引领、战略取胜”的主导思想，着力推进战略规划体系化建设。二是聚焦核心主业发展，保证战略新兴产业在中国电子产业结构的主体地位。三是激发科技创新活力，突出科技创新在企业经营发展中的重要作用。四是优化工作协同机制，确保战略执行落地。五是完善投资管控体系，提升投资管理水平。通过上述举措，中国电子提质增效、瘦身健体、转型升级取得了明显成果。供给侧结构性改革初显成效，核心主业投融资能力不断增强，科技创新活力不断激发，央地联合产业发展打开了新局面，国际化经营能力显著增强。国资委规划发展局局长邓志雄充分肯定了中国电子将战略规划和投资管理融入公司制度的做法，高度评价了中国电子聚焦核心主业、国际化经营工作取得的显著成绩。 
1487777482000[,,,,,,]$中远海控(01919)$ 基本上目标5元吧。涨一毛钱减1w股看看先
1487768930000[,,,,,,]$中远海控(SH601919)$ 明天冲高可以落袋为安了
1487763186000[,,,,,,]$中远海控(01919)$ 卧槽没注意这玩意涨停了
1487761353000[,,,,,,]港股那边的周期股涨起来真吓人，看看A股囊中羞涩，就跟黄花闺女似的不敢出门。   不过我还是觉得我大A股比较亲，咋办？如果A股真的发疯，那确实真的要命。
1487751838000[,,,,,,]$中远海控(SH601919)$ 航运周期来了，中远航控应该值2000亿
1487748282000[,,,,,,]$中远海控(01919)$ 现阶段真是周期为王啊
1487741225000[,,,,,,]【长城证券】快枪手：建议关注中远海控601919，我们预期今年全球经济将可能全面复苏，对航运边际改善将逐步显现。仅供参考。
1487740891000[,,,,,,]$中远海控(01919)$ 港股航运又飞了
1487729019000[,,,,,,]都去看金顶了 没有来得及介入，今天中远系 应该可以走一个大阳线啊  
1487728857000[,,,,,,]回复: 有很多ah，确实h价格低。低还不止一点点，比如中远海控//:回复:这样通过沪港通买港股其实并不比买大a股便宜多少
1487666264000[,,,,,,]市场正常波动重点关注以及 中远海控快来看看梧桐树2013 的个人主页 ，推荐你关注
1487663983000[,,,,,,]  截至2月17日，在纳斯达克上市的中国远洋捕捞企业平潭海洋(NASDAQ:PME)以3.65美元收盘，推动其市值达2.89亿美元。而2016年大半年，其股价都在1美元上下徘徊，股价最低时仅0.84美元。从去年11月开始，平潭海洋股价开始上涨，短短4个月时间里，股价涨幅超过320%。今年以来，其股价已上涨102%，成为在美上市中概股涨幅榜冠军。 （ “平潭海洋”近半年股价走势图）平潭海洋近期的出色表现，引发市场关注。2月15日，有美国研究机构发布报告指出，市场仍然低估了平潭海洋80%—200%的升值空间，这是由其潜在产能的恢复、中国市场饮食结构的变化以及远洋捕捞牌照的价值所带来的。对于市场的预期，平潭海洋CFO于洋给出了自己的分析：“远洋捕捞行业有自身的特殊性，会出现一些不可控的风险，这导致我们在过去的两年里发展进入低谷。但从2016年底开始，我们恢复了30%的产能。按照保守预估，每一股EPS5毛钱，加上一个保守的10倍市盈率，股价应该是在6美金左右。这还没有算上今年进行的海外并购以及向下游延伸的计划。所以，分析报告写得还是有一定道理的。”（平潭海洋CFO于洋）海产捕捞行业的特殊性在于牌照。目前，中国在近海捕捞领域共有90万张牌照，由中国政府发放；而远洋捕捞行业只有2000余张牌照，由远洋水域所对应的国际渔业组织给全球各国发放配额，各国政府拿到配额后再分给国内的远洋捕捞企业。每一张牌照对应一艘船，规定准许捕获的海产种类及吨数。远洋捕捞作业区往往在各国经济专属区海域，所以还需要获得所在国的作业许可。我国目前共有150家远洋捕捞企业，平潭海洋是国内第二大远洋捕捞企业，共有135艘远洋捕捞船。其主要作业区域在印度尼西亚的阿拉弗拉海。主要捕捞产品包括带鱼、黄花鱼和虾，均服务国内消费者。2015年1月，平潭海洋获得财政部牵头的中国农业产业发展基金4亿元投资，其对公司的估值高达50亿元。（平潭海洋远洋捕捞作业区域）但是，天有不测风云。就在获得农业发展基金的投资后不久，2015年2月，印尼政府以打击非法捕捞的名义宣布禁海。2016年8月，印尼重申严禁外资进入渔业捕捞行业。这使得平潭海洋的主要作业区域连续两年停产，直接导致收益下滑。从2015年开始，公司连续6个季度亏损，总额约7亿元，公司股价跌幅90%。算上这次，在印尼专属经济区海域作业30年的平潭海洋已经历三次禁渔。值得回味的是，每一次都是在渔业部长换任之后发生。平潭海洋董事长卓新荣表示，公司正积极与印尼政府谈判。基于在印尼深耕三十余年的基础以及中国相关政府部门帮助协调，有望在2017年下半年解决禁渔问题。同时，2016年底，平潭海洋在不放弃印尼海域作业牌照的前提下，将部分产能向外转移。2016年11月，平潭海洋与东帝汶政府合作，首先打开了东帝汶水域，成为目前东帝汶海域第一也是唯一一家外国远洋捕捞企业。除了东帝汶，平潭海洋还与巴基斯坦等国达成初步共识。2016年12月，公司部署4艘金枪鱼船于太平洋公海作业，于2017年第一季度开始作业并实现销售收入。平潭海洋新的战略布局渐渐明晰：其运营的135艘渔船，104艘在印尼，13艘在东帝汶，12艘在印度的孟加拉湾作业，6艘新造的公海船也已下水。此番调配使平潭海洋恢复了30%的产能。2016年第四季度有望实现收支平衡，并实现轻微盈利。预计公司将于2017年3月公布2016年第四季度和全年的财务业绩。强化全产业链建设于洋向经济观察网（微信号eeojjgcw）介绍，除了致力恢复生产，平潭海洋2017年还在国际并购和国内零售终端两线布局，强化企业的全产业链建设。国际方面，公司在美国请专业水产投资银行在全美地区搜索目标公司。目前，公司内部正在商议在四五家目标公司中做最后的抉择，预计2017年会完成并购。通过并购公司和牌照，平潭海洋可以迅速打开美国市场。同时，按照牌照允许捕捞的种类，根据中美市场的需求和价格进行资源调配，“把正确的鱼卖到正确的市场上”。国内方面，2016年底，平潭海洋在平潭试验区拿到一块土地，用于建设码头及冻库、加工厂等设施。公司计划渔获到达码头后，直接进入冻库、加工，然后采用低端价格路线延伸到全国的合作超市。向零售终端延伸可以省却四五层批发环节，既为消费者提供更廉价的产品，也能为企业最大限度地获取利润。这一系列举措，有助于提振市场对平潭海洋未来增长的信心。于洋表示：“如果国外的并购计划、零售端的品牌推广等因素全部计算进去，估计每一股EPS（Earnings Per Share，每股盈余）至少能达到两美元。”远洋捕捞行企业充满升值潜力改革开放以来，中国经济飞速发展，但相应的环保理念却未跟上。“先发展后治理”“先发展不治理”等情况屡见不鲜。工业废水废料被排入河流，通过入海口进入海洋，导致近海污染严重。同时，政府对近海捕捞的管控较松，过度捕捞情况严重，造成“近海无鱼可捕”的局面。相较而言，远洋捕捞显示出它的优势。同时，随着城镇居民生活水平提高，饮食需求向更健康的高蛋白食物过渡。数据显示，从2007年到2010年，中国居民的蛋白质消耗量逐年上涨，三年涨幅达15%。未来对蛋白质的需求仍会增长，对深海鱼虾的整体需求相应也会提升。（中国居民的蛋白质消耗量（2007-2010年））此外，中国政府和国际组织对海洋资源的保护形成行业壁垒。2015年中国政府暂停建造新渔船的审批，仅允许业内现有船只进行维修。2016年全年，全国渔业最大省福建，包括翻新的船体在内，也仅增加了130只渔船。远洋捕捞的牌照发放渐渐收紧，后来者即使有资本也难以拿到入场券。因此，远洋捕捞行业准入的大门基本关闭。国内远洋海产市场可以预见的增长趋势，使得已经入场的企业拥有了相对封闭的蓝海环境。“全国渔业发展第十二个五年规划”提出，统筹发展可持续的捕捞业，一方面要严格控制渔业捕捞强度，另一方面要扶持壮大远洋渔业。远洋企业享受政府零税政策和造船及运营补贴，更使得资质出色的企业迎来爆发式增长的红利期。
1487589018000[,,,,,,]$中远海特(SH600428)$ （中远航运）今涨停，特种运输细分行业龙头，继续看好。更多理由可看我一周前发的帖子： http://xueqiu.com/7530828706/81073384今天航运板块都不错，$中远海控(SH601919)$$中远海能(SH600026)$ 涨幅都ok。。
1487574765000[,,,,,,]   投资逻辑        重组完成，明确特种船战略定位：主营特种货物远洋及沿海货运服务。2016  年  5  月  30  日，公司最终控制人国务院国资委，批准将公司的全部权益划入中国远洋海运集团。划转后，中国远洋海运集团间接持有公司总股本的  50.94%。此次重组旨在集中力量，发展特种船业务，从而确定打造全球综合竞争力最强的特种船公司的战略目标。        航运市场期待回暖，调结构抓成本等待机遇：近年全球经济复苏仍然缓慢，航运市场也进一步承压，公司营业收入连续两年下滑。与此同时，各个细分领域的发展有所差异。为实现持续盈利和健康发展，公司积极促进航运主业结构调整，使高附加值货物比重得到进一步增加。另外，公司狠抓成本控制，毛利率不断改善，保证公司在行业低迷期依然平稳盈利。        散运供需改善，运价反弹利好公司业绩：公司干散货占比行业内较高，与BDI  走势较为相关，将极大地影响到公司业绩。现阶段，船东对于运力的投放越发谨慎，新增造船热情也逐渐降温，预计市场供给增速回落。随着全球需求平稳缓慢增长，供需边际改善，BDI  自  2016  年下半年开始反弹，一路突破  1,000  点，最高达到  1,257  点。在传统淡季回调之后，中国将迎来基建需求旺季，预计  BDI  将继续在波动中上升，为公司的业绩提供利好。        “一带一路”为公司发展带来新机遇：“一带一路”对沿线国家直接投资和对外承包工程引领作用突出，并得到越来越多的国家认同和响应。2017  年“一带一路”的战略将更进一步，投资及工程项目预计带动中国相关装备和技术的出口，对项目设备货运需求而言是长期的利好因素。由于主营机械设备等特种货物运输业务，是“一带一路”利好航运中最相关标的，将直接受益于该战略的推进，公司将迎来战略发展新机遇。        投资建议 经过重组，专注打造特种船货运公司。伴随散运市场供需边际改善，BDI  反弹，以及“一带一路”加速推进，业绩预期向好。公司是航运业优质标的，盈利能力业内领先，目前  PB  估值  1.6  倍左右，具有优势。预计公司  2016-2018  年  EPS  分别为  0.02  元、0.05  元、0.08  元，对应  PE  分别为367  倍、129  倍、86  倍。首次覆盖，给予“买入”评级。        风险        宏观经济持续低迷，散运市场复苏不及预期，“一带一路”推进不及预期。  ：  
1487573646000[,,,,,,]Fly away  
1487568593000[,,,,,,]601919和002342，等了几天了，爆发了，后面一直看好，还有葛洲坝
1487568222000[,,,,,,]$中远海控(SH601919)$ 2月20日13:23入选#主力盘中连续抢筹#策略，有主力连续大单吸筹，推送时涨幅6.12%，大单买入2280712股，成交量放大至日均成交量的10.2倍。关注此策略即可收到最新消息推送，请在 App 内点击查看 https://xueqiu.com/strategy/19
1487557346000[,,,,,,]    中远海能全球海运股都这么涨？难道大宗真的又全面复活了吗？经济真的见底了吗？韩进岂不是要哭死了？吓得我赶紧再入点云铝压压惊。
1487555075000[,,,,,,]  中国远洋亏损99亿已然到前期高点，你石化油服就耗着吧。 和 多给面
1487553594000[,,,,,,]今日建议可以关注 , ,不建议触碰的是 
1487424525000[,,,,,,]$中远海控(SH601919)$ 近期将回调，回调后如不破5，则不失为好的买点。
