1492819187000[,,,,,,]//:我刚打赏了这个帖子 ¥1，也推荐给你。
1492754504000[,,,,,,]$首创股份(SH600008)$$华夏幸福(SH600340)$$金隅股份(SH601992)$当前这些雄安股就好比15年的大盘，需要去杠杆,这个过程很残酷，但是没办法。
1492754384000[,,,,,,]看了一眼在现在价位认为华夏幸福是价值投资的，在华夏幸福20多元的时候其中的大多数人没有发表过对华夏幸福价值投资认同的观点。
1492754294000[,,,,,,]$庞大集团(SH601258)$有土地就有财富，当然这不是你不止损的理由，华夏幸福
1492753772000[,,,,,,]【13家公司连续六年净利润增长超两成】这13家公司分别为：瑞康医药（150.39%）、捷成股份（80.38%）、中金环境（79.68%）、网宿科技（50.41%）、迪安诊断（50.33%）、老板电器（45.32%）、索菲亚（44.66%）、康得新（36.45%）、华夏幸福（35.22%）、华东医药（31.88%）、星辉娱乐（30.15%）、海康威视（26.46%）、康美药业（21.17%）
1492753505000[,,,,,,]清明到现在的行情从火爆到灾难！在连续亏损后要及时出局保护好自己的本金，盈亏都不再重要！空仓也是交易的一部分！
1492753293000[,,,,,,]雄安概念继续深跌调整，这次的下跌造成高位游资损失惨重，加上 刘士余不停的个人发言，市场情绪非常差，看来稳定下来还需要时间；雄安概念分两种：1.典型的高位巨量套牢的，比如 华夏幸福  这种，高位有水泥天花板板，是铁定难解套的，毕竟没有雷锋会拿出百多亿来给大家解套；2.高位有过震荡换手 ，这种股票筹码结构好好得多，下跌情况不会那么严重；比如   之类的；然而雄安概念肯定会持续有新的消息露出来，淡定等待吧；
1492753000000[,,,,,,]孙阳：雄安严禁炒房炒地炒股，许省长发话了，估计雄安暂时要走箱体了，先整理一段时间，降降温，不过这个话早点说多好，散户省的冲进去，这不散户还要站岗，只有耐心熬着了，不过许省长的话音刚落，雄安就止跌企稳了，是否利空出尽呢？别想那么好，整理是必须的，自贸区的600822(上海物贸)当时也整理的21天，后面才一飞冲天，雄安的股票还有这个机会吗，我们只能期盼着了。  
1492752511000[,,,,,,]雄安自清明节横空出世以来（怎么感觉有点不吉利），吸引了很多市场的目光，大家都被这样宏伟的计划蓝图震精了，小蝌蚪们都很兴奋，跃跃欲试生怕像错过房价一样，错过这波实现人生财务自由的机会，大有不上雄安就会被时代无情抛弃的感觉，当时我在海南得知这大新闻的时候，也粗粗看了一下，感受就一个字：大工程，没有其它想法了。估计当时小伙伴想法也差不多，你说一个平民百姓的，对这样的计划真的关心吗，关心的其实是自己的口袋而已，对怎样抓住这个机会，老司机们都轻车熟路，炒房最实际直接冲过去，结果遇到“计划经济”梦断雄安，炒房梦是铩羽而归那就只能炒股了，雄安概念股开启了一字板的涨停之路，开板有先后\走势有分化，但总体是非常大的一波暴炒。跟多数人一样，我也是时刻在关注这个板块的走势，大到这种程度的概念，你在市场中想不关注到都不行，也说了不少关于这个概念的看法，专门写成文的有4月11日《雄安大概念还能火多久，如何选龙头，怎样上车？》、《雄安龙头股一览》，其实也算是一篇分成两次写吧，在一天之内分两次发而已，也有其它推文提到过雄安。要是算上零星提到过雄安的微博可就多了，看了一下有25条，有观点的也有点评个股的，纯转发和文章的那些就不算了，真正提到雄安有观点看法的微博有9条。本来以为大家对我的观点都有正确认识，这些也都过去了不想说，没想到在微博被人黑了一句“马后炮我就服林起”，呵呵好吗，那就把之前对雄安的观点来个全面展示，让他看看什么叫马前炮，所有内容都在全部可以看到。首先统一下对概念走势的认识标准，当然这个没有绝对标准，只是相对从大的方面上看是这样，大概4月10日雄安概念股走势开始分化，本周即4月17日算雄安整体暴跌的分水岭，记住这两个时间点，这对判断接下来我的观点准确性很重要。雄安概念股乱撸很容易挨套，正确的姿势是撸概念龙头股，第一天买不到没关系，追个两三天开板买，或者没有一字板涨停时买，像华夏幸福之类的，往往开板后还要再往上炒。4月4日 23:19来自 iPhone 7 Plus后来概念股的走势确实分化了，乱撸很容易挨套，炒龙头的建议没错，但有些股给到，有些股不给上车的机会，像华夏幸福这种是直接一字板到高位的，不是两三个板有机会炒。雄安概念股今天可以涨停板买，前提是仅限于龙头，否则随时套人没商量。4月5日 07:59 来自 iPhone 7 Plus当时板块炒作明显没够，胆大敢买还是赚。其实雄安这种机会，不存在踏空的说法，之前谁都不知道，看今天看你追不追而已，可是纯正一点的概念股根本买不到，其它的有可能直接高开低走，起码没有一个概念能大范围连续暴涨的，市场没有这么多钱理性点。我们现在持仓将近十支票，两支是河北的早上直接一字板，两支相关行业股票涨4%、5%，对事件的解读和市场的判断，本来就跟仓位没关系，我要说雄安会一飞冲天，你听舒服了市场不这么走没用，然后你回来骂我看错了。4月5日 12:50 来自 iPhone 7 Plus我只是头脑没发热而已，并不反对你去发财。雄安概念股真正的买入机会差不多才出现。 4月6日 13:25 来自 iPhone 7 Plus当时板块炒作明显没够，胆大敢买还是赚。今天有主观力量进场操作，应该会是上涨的一天，站在它的角度想，会怎样去做多，短线就是这样操作的。雄安整体差不多快到休整的时候了，要小心。 4月11日 09:59 来自 微博 weibo.com4月10日雄安概念股走势开始分化（当时可不像现在知道那一刻分化了，站在那时候能看清概念股走势接下来会分化也是牛逼的），11日的微博提示风险，没毛病。这周大盘的走势故事满满，昨天下跌那种拉法，绝对是主力做出来的，早上雄安的表现，我党应该准备出货了，但开盘跌得太急，如果不是它在卖的话，就找不到卖出窗口，那么可能再次拉起来等卖出机会。4月12日 09:46 来自 微博 weibo.com看到主力出货动机，此时的相关概念股已经分化很严重。粤港澳大湾区概念跟雄安新区没有可比性，一来是定位不同，二来是地位不同，三来粤港澳早已有之，不是新鲜事了，深港珠澳一体化不是一直的事吗？所以这个提出来，现在放出粤港澳大湾区蹭的就是雄安，虽然也是国家做庄，但十有八九烟花一下，以为会复制雄安涨势的，现在进去就会被套，不信试试。4月12日 11:43 来自 微博 weibo.com心机狗主力借雄安炒“新地图”坑钱，我们看透它，12日那天之后，进去炒粤港澳的基本两三天套百分之十几很正常。这话也不对，今天是什么时候，正处于雄安概念变盘点，个股大面积跌停。这消息5号就出来了，任由天天暴涨暴炒放任不管，今天眼看不行了，涨不动就开始大范围停牌，跟房价涨上天了到处限购道理一模一样。4月12日 23:57 来自 微博 weibo.com转发点评一条微博时说的，雄安明显是某些阴货骗钱手段，不是它们不让涨，而是涨过出货后才行政打压。珍爱生命，远离雄安概念股，不要赌让别人赚，分清时候格局大点，几天后清醒再看这条微博，会感谢我的，就像12日提醒不要去碰粤港澳概念股一样，那些股到现在都套20%以上动弹不得。4月18日 09:38 来自 微博 weibo.com要感谢我了吗？文章篇幅大不方便直接贴上来，上面那两篇大家自己看，除了那两篇之外，还有另外一篇提到对雄安的观点，4月6日《要说的话就几句》不过主要说的是雄安之后对大盘的看法，说了雄安本身的应该算第四条，这篇很短就几句话方便贴，如下：一、整体行情现在还处于回调阶段，遇上了突发大消息雄安新区，已经对市场的运行产生了两天的影响，但不会改变市场运行的规律，消息消化之后大盘的走向，该怎么走还得怎么走。二、目前我们的判断是下跌中断，雄安消息的影响基本到位，后市大盘技术层面还需要继续调整，所以周五及下周，大盘振荡向下是大概率的事。三、中小板在下跌中的风险依然高于上证指数，次新股下跌还没有到位，目前切勿抢反弹，次新股有反弹是高抛的机会，不信过一个月后看。四、雄安概念股真正的买入机会，这两天会开始出现，目前50多支的标的，真正有用的差不多就10支左右，要找出它们来，打开涨停或放出成交量就可以介入，预计后市还会被主力资金继续暴炒。五、在雄安概念之下，国家战略性的概念都有机会，比如一带一路、军工之类的。这波的雄安炒作，现在看有点用力过猛了，贪婪的大资金和饥渴的市场，这就好比一个壮年大汉，好久没碰过女人了，突然来了一个大美女脱光光，他几乎已经忘了世界，过度兴奋和透支身体之后，导致阳萎提前报废了，能不能恢复另说，起码一时半会是缓不过劲来了，得慢慢调治受伤的身体和心灵。换句话说雄安短期有第二波大的炒作可能性不大，之前我们说第二波时，可没算炒到尽不留余地的这种干法，现在干到伤筋动骨一百天，一时半会肯定起不来的，小小勃一下都费劲，所以暂时别对第二波抱有太大期望，可能会拉两三天回来一点，但目前震荡调整才是雄安概念要走的规律，第二波或有可能有这个以后再谈，需要多种因素综合作用，契机不在现在，心要淡定不要急，凡事都一样，别让人说“瞧你那幅色相”。
1492752186000[,,,,,,]$华夏幸福(SH600340)$ 这个价位还有很多不恐慌的，所以继续...做空华夏，幸福一生
1492752045000[,,,,,,]$华夏幸福(SH600340)$ 这几百亿被国家队玩残废了，可惜了这么多弹药，有这钱儿干啥不好啊！
1492751836000[,,,,,,]$华夏幸福(SH600340)$
1492751831000[,,,,,,]$华夏幸福(SH600340)$ 这个价格的华夏幸福比茅台更有投资价值  现在的价格还说茅台有投资价值的估计都是投机分子把
1492751806000[,,,,,,]$华夏幸福(SH600340)$641就是讲政治最大的牺牲股民利益者，一直都用gjd控制波动，等大家习惯了自己货出完了，突然改成不控制波动了，搞死市场参与者。
1492750719000[,,,,,,]午评，说几条近期个人看法1. 指数维稳高于一切！个股死活不是监管方向。千万别看指数有没有企稳来买票。指数稳了，个股继续大跌。非常正常。2. 现在买白马，和高位买雄安没有什么区别。不信你试试。引导价值投资？我认为上层不是这个意思。雄安就是最大的题材。还要执行上层的千年大计。所以雄安后续还有不停的消息刺激。题材股炒作当然不会结束。白马的崛起，并不是最近的。而是已经涨了最少3个月了。高位有风险，追高要剁手。昨天追高格力的，尾盘吃瘪了把。3. 雄安大票，不要抄底。你觉得的底，可能不是底。抄底抄在地板上，发现还有地下室。补仓补在地下室，发现地下室还有18层。底部如何判断。3天内不新低。缩到0.5左右的量最好。4.可能的风险1：目前银行查委外资金，和股灾1.0的时候非常相似。就是流动性的连锁崩盘。比如某些高杠杆的配资，他有abcd这些票。a暴跌一字根本出不去，他只能卖bcd。那么盘面会出现一些业绩不错的票，毫无缘故的跌停。又不是温州票。这个时候你要想到的是配资爆仓导致。这些票在大跌的第一天，可能有其他主力护盘。后面。就没了。典型的例子。 可能的风险2：雄安高位融资票的爆仓，即将到来。甚至已经发生。这个悲剧会很多，等待新闻的进一步发酵。最后一杀不在今天就在周一了。大家注意，尽量回避带融资的大票。因为这个炸弹即将爆炸，而且会很伤。(个股信息界面)的股票代码前如果有一个R，就是融资票。5. 次新有一些独立走势的。能不能上？这个留言是很多的。我一并解答。第一，不要认为处理温州庄之后，次新就没庄股了。第二，次新未来炒作将进入业绩/题材驱动模式。那么会出现什么情况？温州模式与时俱进，修改炒作思路。以前是做冷门票，现在开始做业绩/题材票。毕竟清源股份已经给了下马威。老庄再会玩，也要换换思路适应了。那业绩票不就和机构撞车了？这个无需担心。因为多数新开版次新的流通只有7-10亿左右。谁先控制了多数筹码。。谁就是老大。所以未来选股，在新股开版之后的这些新庄股会开始成为下一批的次新庄股龙头。关注业绩，关注题材的稀缺。老庄次新应该全部回避。不要在想着他们拉。全部取消关注吧。只要次新无限发行，庄股模式永不消失。新票取代老票而已。控制7-8亿的票，对场内资金来说太容易了。只是如何回避监管和更新操作模式而已。监管和庄股的关系，就是我们小时候看的警察和古惑仔的关系。互相依存，换着手法，不然如何拍出无间道这样的大戏。6.次新7版特停可能成为短期常态。很简单的道理，如果大量IPO，那么市场抽血效应太剧烈了。市场已经怨声载道了。这样通过行政手段干预新股开版节奏。等市场培养成习惯了。自然后续就不用特停了。自己就开了。这个和铲屎官培养宠物上厕所没区别。形成条件反射而已。又要发行，又要减少抽血效应。又要马跑，又不给喂草。只能这么办。对于基本面优秀的个股，给了提前上车的机会。对于基本面差的个股，早点开版也没毛病。我之前说过，我遇到了当年第一年大学扩招的悲剧。其实现在回头去看。竞争者多，我难道就没活路了？新股也是一样。优胜劣汰，物竞天择。7.今天收盘还有嘴炮毁天灭地吗？难说，所以我下午依然不写点评。周日晚上写。但我认为市场已经崩成这样了。应该没有必要再发利空了。没有发言，就是最好的利好。希望如此。写完了。本人继续持股带路。做个政治正确的宝宝。  
1492750717000[,,,,,,]$华夏幸福(SH600340)$中了国家的千年大计
1492750005000[,,,,,,]回复: 你是说巨师老毛？２８推的电广当真？那就是按３９７.６亿的估值买入阿！４３跌到１３按毛巨师推荐价买入也是亏损５０%+阿，当然买者自负，看了信了投了那就是自己的决定，责怪毛巨师是不对的哈，怪自己笨没判断力努力提高才有点意义。难不成毛巨师要看到６００亿估值？一年５，６，７十亿营收，净利３，４亿票，给个６０~８０亿的估值了不起了。毛巨师犯的错这也不太大了点吧！再折一半到６~７块百亿左右我去看看哈，没准参与参与，捧捧毛巨师的场! 我也是因毛巨师提起才去了解的，望早日跟上我 的收益哈。//:回复:老毛28块多推的电广，现在腰斩，现在谁提电广他就拉黑谁，呵呵
1492749966000[,,,,,,]回复: 印象很深刻啊，我在雪里还只是记录自己的买卖，既没吹票又没忽悠，下面一堆人就在哪里冷嘲热讽说是托，又说是忽悠接盘，真是受不了某些散户，祝福他们一辈子都是韭菜；他们都喜欢那些从不犯错的大V和神人。鲁迅说不惮以最坏的恶意揣测国人，真是一针见血，这回我也见识过了。雄安一役，我是有原则的，当时情况是整个板块犹如一锅油，滚烫得要冒烟，1000亿资金是个多么恐怖的数字，顶级游资也全都进去，难道身家上亿的人也都是傻瓜？要怪就怪死鱼不懂科学，直接拿冷水向油锅里面倒，这不炸锅才怪！正确的做法是熄火，盖好锅盖，再灭火。你可以指挥大股东减持收割游资，可以让国家队镇压，但不能行政命令干预人买卖，这都很靠谱的技巧，最后火肯定灭，也没现在百亿融资盘要面临爆仓那么惨。我原本的想法就是 龙头首阴，水下接货，当时龙123  都是一字，不想选金隅股份这个大胖子，担心他学华夏幸福那样。谁知道水泥第二天情绪这么差，既没反包也没反弹，直接割肉认错离场。讲真其他几个龙头全是百亿以上的成交量，水泥的减持才几十亿根本不怕，又不是一天抛光，顶多是个心里层面的影响，不会超短的走势。做超短的都应该知道趋势有个惯性，超短就是赚火车刹车期间的差价。//:回复:只要是天天成功的大V，绝逼是假的。我发现散户有个特点，觉得谁厉害就应该100%对。一旦有笔交易错了就马上对他的印象打了折扣。这是绝对错误的认知啊。大家记住，不亏损的交易者是不存在的，不犯错误的人人不存在的！
1492749575000[,,,,,,]$华夏幸福(SH600340)$ 下周见32，32可以小小接一下
1492749515000[,,,,,,]服！
1492749337000[,,,,,,]以前深闺不识，现在万众瞩目……
1492749313000[,,,,,,]421午评：1、沪指早盘低开盘中做窄幅震荡为主。沪股通净流入2.4亿，深股通净流入2.3亿。量能上较上一个交易日继续缩量。2、板块上，雄安今天是连续第六天的调整，今天的龙一为青龙管业，盘中大涨8个多点，雄安地热板块的汉钟精机涨停，板块中的其他个股跟风上涨，随后再度出现被砸，大盘股华夏幸福、金隅股份杀跌到7个多点，保变电气盘中也曾一度跌停创业环保和银龙股份大跌5个点以上，临近午盘有在荣盛发展、宝硕股份等直线拉升带动下才所回暖，建议逢急跌关注。虽然雄安继续走调整，但今天的大盘指数今天比较稳定，主要是银行、钢铁和医疗板块在护盘，银行板块普涨，板块中的宁波银行、南京银行、招商银行盘中涨幅超过三个点以上。钢铁板块全线飘红，龙一为中原特钢涨停。医疗板块主要还是以补涨为主，涨停的九安医疗和青海春天超跌反弹，板块普涨。今天领跌的是港口，白马股。苹果疯狂扫货OLED产业链，京东方A领衔放量大涨，创近一年新高，可以等待回调关注。3.目前看，大盘尚未回补缺口，杀跌的雄安也已经超跌，建议可以盘中逢急跌积极关注，等待大盘实质性的反弹。
1492749157000[,,,,,,]回复: 留一个雄安概念慢慢玩，以后明朗了华夏幸福应该是最受益的，周边土地太多了//:回复:又接了啊？
1492748501000[,,,,,,]$招商蛇口(SZ001979)$ 格力已到前高 茅台已到峰值 华夏幸福在回调   目前最有潜力的当属招商蛇口，此股散户最少，中国建筑散户太多了现在招商蛇口20元，年底看涨到25元没有任何问题！
1492747981000[,,,,,,]割了格力，买入华夏幸福，和大家反着来，不知道对不对，记录一下。
1492747904000[,,,,,,]$京蓝科技(SZ000711)$ 雄安特区概念股中走势最好的！ $华夏幸福(SH600340)$$栖霞建设(SH600533)$
1492747835000[,,,,,,]$华夏幸福(SH600340)$ 业绩如此优秀、独霸河北一方的土地、房价最后还是市场说了算……股价早晚过100！现在不是计划经济的时代了、管控政策是为了慢牛！长线安心持有、就当没雄安、股价也不止60元！$荣盛发展(SZ002146)$$金隅股份(SH601992)$
1492747677000[,,,,,,]看得我肉肉好疼。 //: 雄胺再这么跌要爆仓了，要防止火烧连营，把大盘带奔溃。雄胺八虎“总计融资余额达到182亿元”，很多都是在高点护盘用掉的，比如华夏幸福为了避免证金411抛售失守，412交易200多亿。现在超杠杆减仓导致最小阻力向下，反弹就是抛压保命，
1492747555000[,,,,,,]$华夏幸福(SH600340)$$荣盛发展(SZ002146)$ 好贴支持一下
1492747393000[,,,,,,]$华夏幸福(SH600340)$$荣盛发展(SZ002146)$ 其实抛开雄安概念， $荣盛发展(SZ002146)$ 只有12倍的市盈率，本身就非常具有投资价值。
1492747123000[,,,,,,]还有一种人永不犯错。就是从来不出手买卖，职业键盘侠的人。只说不做。任何时候都是对的。这次亏认了。但绝不认输。
1492747012000[,,,,,,]转心痛到无法呼吸。一线柚子想逆势制造热点，反被操。简单点说 比如今天的2457  300070 300152等等等第二天顺势按纪律割肉一条完美的割肉链。有心杀贼无力回天。活跃资金的被套。导致许多仙股的产生，今天随便一翻已经很多一天成交几百万的个股了。并且伴随许多断魂刀后持续跌停的个股的大量产生。导致人心惶惶。不可否认的就是打板客的急剧下降。昨天的874 1228现在给我的感觉就是 上板封单再大一点用都没又，总会有各种原因能让你的封单消失，我不说阴谋论，简单点说就是，不敢扫。一有抛压就如惊弓之鸟四处逃散。在A股的制度下 无板无热点。所以我一直强调说打板客是这条超短热点板块生物链极其重要的一环。就好像昨天的601228，那些平盘低吸的想，收盘还有8个点利润，结果今天就低开5个点，等一会又跌停了我想了许久，破这种方法 只有两条。第一条，熊安经过充分割肉换筹，构筑小平台。但是最关键的是 ，割肉起来真的很痛，就好像淮海600340的3.5个亿。所以他肯定想围魏救赵，而在这种情况下围魏救赵真的跟随者已经寥寥无几了。第二天，解铃还需系铃人。主席说的话趋于缓和。但是他是一个十足的政治家，想让他缓和，难。因此我想不出如何解这个局，我也没这个能力解这个局。今天我已经空仓第三天。在空仓亏钱效应爆炸的情况下，真的谨慎吧。今天 佛山用了十几万封的2158都不一定能封的死。一年多以后我好想还没试过空仓三天资金又在发动2146且行且珍惜吧。活着渡过黑暗，才能迎接光明。当然对于一手低吸涨停的人，当我没说。
1492746970000[,,,,,,]$华夏幸福(SH600340)$经济越发达，相对应的房价越高，这是不以人的意志转移的规律。不让房价涨，又要建设千年大计，这就是既要马儿跑，又要马儿不吃草。这违背客观规律。
1492746955000[,,,,,,]@投资舆情:回复@投资舆情:雄胺再这么跌要爆仓了。雄胺八虎“总计融资余额达到182亿元”，很多都是在高点护盘用掉的，比如华夏幸福为了避免证金411抛售失守，412交易200多亿。现在超杠杆减仓导致最小阻力向下，反弹就是抛压保命，能稳住震荡就已经不容易了。雄安这次不必48块中石油活埋的少。
1492746777000[,,,,,,]今天周五，常态性低迷，一带一路、粤港澳、雄安继续调整，关于雄安，基本上得需要休养1-2周，为啥？看看华夏幸福、金隅股份、河钢股份、冀东水泥这些大家好啥时候能止跌企稳；但即使再起也不买这些，这些不过是用来看雄安企稳用的，买只买10—20亿成交额的，在板块企稳之时趋势还没破坏的那种，当然肯定是从环保板块里挑啦；对于上午领涨的医疗保健、银行保险只是超跌反弹而已，看看就好，莫轻易出手；
1492746757000[,,,,,,]早盘两市小幅低开，早盘呈现震荡走势；钢铁股一马当先，中原特钢涨停，***方大特钢、三钢闽光、西宁特钢等纷纷上涨；医疗板块接力拉升，九安医疗强势封板，理邦仪器、戴维医疗、康德莱等集体跟涨；前期超跌庄股今日集体反弹，柘中股份率先涨停，宝色股份、利君股份等亦有不俗表现；雄安板块今日继续走弱，保变电气连续三跌停，银龙股份、嘉寓股份、华夏幸福、金隅股份等不同程度大跌；而银行、保险、券商等金融股活跃，成今天护盘主力。从板块上看，医疗、特钢、银行等涨幅居前，港口、粤港澳、航运等跌幅居前。截至午间收盘，两市共计34股涨停，7股跌停，成交量2226亿元，沪指涨0.07%，报3174.40点；深成指涨0.11%，报10370.79点；创业板指涨0.25%，报1855.02点。
1492746752000[,,,,,,]虽然有个小广告，但不妨碍我喜欢这篇文章。所以说，据闻641说要把创业板的PE打压到30~40，这不是跟我们开玩笑的。只有这样，某一大群人，才肯兢兢业业地做好实业。当然，妙龄的少女是不可能与臃肿的大妈放在一起对比的，但把这些网红呀，直播女呀捧上天，真的很不靠谱。谱在哪里？在领导手上。 ， ，
1492746689000[,,,,,,]毫无疑问上证指数(SH000001)已经进入了下降通道内，现在如果出现不了一个中体的阳线，企稳都难止住。这次下跌大概率一至两个月会去踩3100点上下10个点的支撑的，守住了下半年还是可以有行情的。这次好多大游资被套在雄安这个板块里面，不得不佩服收割的多么厉害，今天河北的消息配合的也是恰到好处，前期抄的疯狂的时候，我记得有一个周末，证监会还在表态添油加醋，收割之后一切似乎都变了，后期融资的踩踏事故会越来越多，股市就是他们的提款机，现在大部分个股都在下降通道，你会坚持持股吗？？？如果不持股你就没有新股配额，看看管理者的智慧多厉害，的市值已经超过5000亿了，这是一种讽刺还是一种合理？？？
1492746613000[,,,,,,]$华夏幸福(SH600340)$股价回来地这么快~
1492746375000[,,,,,,]   华夏幸福这几天真是跌得我怀疑人生~业绩在,概念在,希望这只是黎明前的黑暗.跌破33.6减仓,毕竟不想被疯狂的市场情绪带走已经有的利润.理由如下,作为房地产板块,现在的价格是偏高的.作为A股,它的价格是很划算的.组合中第二重仓海康威视护城河比华夏幸福更强,华夏幸福的模式是可以被复制的,海康威视的技术却更难被外来者复制.2者当中,优先被减仓的是华夏幸福.好在华夏幸福和雄安有关系,照常理说,这风不会这么快灭啊.所以这几天的暴跌真是奇怪奇怪啊.
1492746291000[,,,,,,]1.今天周五，常态性低迷，有几个反弹的，九安医疗，青海春天，春天来了，看看病就可以春游了。看看就好，没啥意思。2.关于雄安，基本上得需要休养1-2周。为啥？看看华夏幸福、金隅股份、河钢股份、冀东水泥这些大家伙啥时候止跌，不止跌雄安无法二次再起。但再起也不买这些，这些不过是用来看雄安企稳用的，买只买10-20亿成交额的，在板块企稳之时趋势还没破坏的那种，当然肯定是从环保里挑啦。3.有人非要我点评一下新劲刚，毕竟也算新股里强势的，那就说一下。再强的股也受板块影响，还是次新，我说的很多次，次新只是反弹，不是反转。可以往上涨一下，但死的也快，手快吃肉丁，手慢被剁手。新劲刚的结局很容易看，看看今天的广州港就知道明天的新劲刚。   
1492746160000[,,,,,,]$华夏幸福(SH600340)$ 30左右买点
1492746058000[,,,,,,]$华夏幸福(SH600340)$ 各路资金已被臭鱼熏晕，东一榔头西一棒子，启动雄安第一权重才有可能激发有效反弹，上午破罐破摔，最后一砸，有些已接近那里来回那里去，只为打低好摊瓜成本 
1492746000000[,,,,,,]$华夏幸福(SH600340)$感谢河北省长今天统一规划周边，严禁炒作，指使股价下跌，又捡到了割肉的筹码。持仓成本37.8元，预计今年每股收益3元左右，利润增长同比35%，对应17年动态pe12.6倍。若达到预期则再次薅羊毛，若达不到预期拍屁股走人～目前房子销售很好～
1492745891000[,,,,,,]继续空仓！下周再战！本周大回撤10%！雄安变凶案现场！转出资金预留20000，等行情回暖！
1492745781000[,,,,,,]$华夏幸福(SH600340)$继续加仓。。。
1492745685000[,,,,,,]刘士余，你不管管吗
1492745484000[,,,,,,]给主力支个招。涨停2个之前未炒作且大幅下落的雄安分支概念中小票。巨力索具，中化岩土，唐山港，等等。。再稳2只大票，金隅股份，冀东水泥，华夏幸福。。盘面自然热了。。大家齐心，别在互割了。。。。。。。。
1492745466000[,,,,,,]$华夏幸福(SH600340)$$奥飞娱乐(SZ002292)$就这两只，这周心情相当不好
1492745415000[,,,,,,]心痛到无法呼吸。一线柚子想逆势制造热点，反被操。简单点说 比如今天的2457  300070 300152等等等第二天顺势按纪律割肉一条完美的割肉链。有心杀贼无力回天。活跃资金的被套。导致许多仙股的产生，今天随便一翻已经很多一天成交几百万的个股了。并且伴随许多断魂刀后持续跌停的个股的大量产生。导致人心惶惶。不可否认的就是打板客的急剧下降。昨天的874 1228现在给我的感觉就是 上板封单再大一点用都没又，总会有各种原因能让你的封单消失，我不说阴谋论，简单点说就是，不敢扫。一有抛压就如惊弓之鸟四处逃散。在A股的制度下 无板无热点。所以我一直强调说打板客是这条超短热点板块生物链极其重要的一环。就好像昨天的601228，那些平盘低吸的想，收盘还有8个点利润，结果今天就低开5个点，等一会又跌停了我想了许久，破这种方法 只有两条。第一条，熊安经过充分割肉换筹，构筑小平台。但是最关键的是 ，割肉起来真的很痛，就好像淮海600340的3.5个亿。所以他肯定想围魏救赵，而在这种情况下围魏救赵真的跟随者已经寥寥无几了。第二天，解铃还需系铃人。主席说的话趋于缓和。但是他是一个十足的政治家，想让他缓和，难。因此我想不出如何解这个局，我也没这个能力解这个局。今天我已经空仓第三天。在空仓亏钱效应爆炸的情况下，真的谨慎吧。今天 佛山用了十几万封的2158都不一定能封的死。一年多以后我好想还没试过空仓三天资金又在发动2146且行且珍惜吧。活着渡过黑暗，才能迎接光明。当然对于一手低吸涨停的人，当我没说。
1492745298000[,,,,,,]$华夏幸福(SH600340)$我只想说，从25块多到40块多，再到现在，依然一股没卖，过山车坐的居然一点感觉也木有了，是不是真老了市场热闹，本喜欢搬张小凳好好观赏，但现在看戏的心情也提不起来。没到30以下，不想买。没到100以上，不想卖。懒散的心情谁能理解呢
1492745284000[,,,,,,]$巨力索具(SZ002342)$股东人数变化一季报显示，公司股东人数比上期（2017-03-15）减少5734户， 幅度-7.64%//@白心:回复@白心:早盘受河北代省长禁止炒房炒股的消息冲击，雄安本来要雄起的，又萎靡下来。加上华夏幸福、金隅股份等融资盘多杀多，整个板块受拖累，直线跳水。但是，巨力索具很抗跌，买盘汹涌。如果下午大盘稳定，雄安企稳，雄起，巨力绝对是涨幅前列。
1492745235000[,,,,,,]$华夏幸福(SH600340)$ 逆向歧视 http://finance.sina.com.cn/roll/2017-04-20/doc-ifyepnea4222209.shtml?cre=financepagepc&mod=f&loc=4&r=9&doct=0&rfunc=96
1492745215000[,,,,,,]$华夏幸福(SH600340)$ 经过今天 下周涅槃
1492745207000[,,,,,,]$华夏幸福(SH600340)$ 一次经典的利用情绪扎空高位筹码
1492745198000[,,,,,,]回复: 先去安徽省博物馆新馆看看，有空再去看看在城区的舒城新滨湖孔雀城。//:回复:真的去实地调研舒城啊？
1492745171000[,,,,,,] 一个月内可能会跌回26甚至更低，这个过程里抢反弹都是火中取栗，我作出这种预测是基于市场博弈理论的，信不信由你。诸位别忙立flag，我4月12日后每次唱空这货都会有人立flag、恶语相向，什么至少还有两个板、60只是第一目标价，但到目前为止“立flag就会挂”的定律还没有被破。
1492745166000[,,,,,,]$华夏幸福(SH600340)$ 市盈率 最低的蓝筹雄安股还真熊
1492745146000[,,,,,,]$华夏幸福(SH600340)$ 每一手都是对方割肉给你的，要珍惜
1492744896000[,,,,,,]$特变电工(SH600089)$ 今天操作出了特变，进了雄安$华夏幸福(SH600340)$一个补跌，一个超跌反弹
1492744838000[,,,,,,]如果在收购还没有完成的情况下，公司就能帮助北方园林拿到的大单就威武了
1492744788000[,,,,,,]早盘受河北代省长禁止炒房炒股的消息冲击，雄安本来要雄起的，又萎靡下来。加上华夏幸福、金隅股份等融资盘多杀多，整个板块受拖累，直线跳水。但是，巨力索具很抗跌，买盘汹涌。如果下午大盘稳定，雄安企稳，雄起，巨力绝对是涨幅前列。//:回复:如果是11.6跟单进场的，建议补仓。我现在的持仓成本是10.8。我打算在11.8至12块左右就离场。
