1492814400000[,,,,,,]分得这么少，套路却不少，中国建筑你行。
1492698843000[,,,,,,]周四A股的超跌反弹的行情原本以为会在两市反抽无力并双双跳水回落后再次夭折，但尾盘却在权重一波凌厉拉升的带动下，各大指数跌幅迅速收窄并最终齐齐翻红。盘面上，权重依旧弱势，但护盘迹象开始显现，而次新股昨日拉升后今日回撤。次外，雄安新区今日大跌下，酿酒、医药等防御性板块表现良好；技术上，大盘在经历了4个交易日的连续下跌后，今日终于止跌收阳。虽然收阳，但盘中走势极其艰辛，几次出现跳水情况。截止收盘，指数继续处于短期低位，上方离120日线压力还有空间。从大盘周线上升趋势线来看，大趋势仍保持支撑，但今日量能不足导致反弹力度较弱，后期应继续关注量能变化。针对指数我们讲三点：（1）指数总算止住了下跌，报收十字星，按说下跌之后如果出现十字星就是要变盘的征兆，所以短期指数反弹可以期待的   （2）这两天的分时走势差不多啊，按照4个波段说，3段下跌4段反抽，走势几乎一致，满满的都是套路啊，我们前面讲过，这种走势肯定比先扬后抑好，因此，不宜悲伤。（3）再看捕捞季节，乖乖，等了9天了，明天要金叉了吧，期待啊请点击此处输入图片描述再来看平均股价：看到这一幕应该算是欣慰的，总算有点希望了呀，本来平均股价跌倒熊线就容易上涨，加上现在又出现了金叉信号，所以能睡个好觉了。还有一点我们要注意观察的就是红色牛线，牛线走平是近期反弹延续的前提，这个牛线就好比天花板，千万不能塌下来！目前大盘S点区间，流动资金连续翻绿，牛线继续下移，行情仍处于杀跌调整中。但股价已经受到熊线支撑，牛线出现拐头走平迹象。若明日熊线能够继续支撑住，牛线走平的概率会越来越大。待指数受到熊线支撑、牛线走平，即是抄底时机！！！记住：灰色区域的反弹，三天为限，不要恋战，如果反弹不及预期，止损也需要果断。静待中线反转B点信号的出现。请点击此处输入图片描述热门板块分析：大消费板块首先要明白为什么选择白马股：主要原因还是大环境给逼的。现在银行在查委外理财，继续保持去杠杆，再加上这两年银行各种事件发生，以及微信支付宝的冲击，银行基本上看不到啥增长前景了，煤炭有色钢铁等周期性板块，因为供给侧改革进入深入化阶段，已经没有超政策预期了，再加上经济形势的不稳定，所以也没有太好的机会。至于创业板为首的题材股，则被监管死了，游资都在跑，所以整个市场，一线蓝筹不行，八类股不行，基金又不可能空仓，那怎么办，配置点什么呢?第二个原因是是大消费的确有一点可取之处，起码业绩增长相对稳定和透明，能够看得到，而且管理层很少点名监管他们，反而不断维护，比如宝能搞完万科去搞格力，结果直接死翘翘了。所以整体还是相对安全，成长性也比较确定。不过对于散户来说一般是不会去碰这2个板块的，为啥？因为这俩防御板块多数是在你痛苦虚弱的时候才会派上用场，比如失恋了要借酒浇愁吧，生病了要对症下药吧，所以，生活还是要继续的，酒和药只是股市中的短暂性过客。当然你如果感兴趣的话我这边也是提供了一个选股的思路，大家仅供参考。看趋势的话，一看智能辅助线，二看60日线或者120日线，这三个趋势线是最重要的。上升空间的话，看筹码结构，分析底部支撑在那里，压力在那里，这样去衡量未来上升空间有多大。当然，今天白酒医药有点太火了，所以离趋势线肯定有点乖离了，不建议追，可以选好股票，等回来再去介入。对于大消费来说，涨个不停远比涨停和大大阳线更重要。请点击此处输入图片描述雄安新区：雄安板块前几日还处于分化阶段，今天则进入了全面调整。保变电气、数字政通、棕榈股份、银龙股份、金隅股份封死跌停，乐凯胶片、宝硕股份、中化岩土、廊坊发展、巨力索具、四通新材均暴跌9%以上，几近跌停。今日早间，中国***新闻网刊登一篇题为“千年大计不容投机炒作”的文章，这或许就是今天雄安板块遭到资金抛售的原因。从目前监管层的态度来看，雄安板块要想在短期内调整完毕，发动第二波行情的难度不小，跌停板上有三分之一这个概念的，保变电气复牌两个一字跌停，数字政通昨天大阳今天跌停，银龙股份昨天涨停今天跌停，金隅股份昨天尾盘莫名跳水今天低开低走跌停，至少今天来说，雄安新区的个股，碰不了，不过这个板块已经回踩到智能辅助线日线的支撑，明天看看会不会有企稳迹象！一带一路：这个板块我已经反复提示了回踩的机会了，已经不止一天2天了，今天一带一路板块午后的表现可以说是非常的亮眼，如果你长期关注我的文章和直播，相信早就应该把握住板块个股的操作机会，而在目前大盘调整了9天之久的情况下，还在支撑之上的个股正是我们值得去布局低吸的对象，筛选掉破位的个股，像五洲交通今天高开低走破位就得坚决离场，寻找别的机会，连中国建筑都再度发力你还有什么理由不相信你也可以选到好的股票抢个完美的反弹。请点击此处输入图片描述请点击此处输入图片描述请点击此处输入图片描述请点击此处输入图片描述至于环保板块，今天有所回落，相关强势个股也是上方遇压，我们可以先落袋为安，寻找下一波的进场机会，像烟台冰轮这2天的表现也是非常的不错，我也是跟徒弟们反复的有讲到，也是把握到了2天5个点的收益，在大盘如此弱势的情况下实属不易。请点击此处输入图片描述今天依旧给大家带来平台突破后回踩低吸的案例，股价在近期堆量突破前期平台压力后回踩箱体支撑，今天强势反弹，主力资金创新高，把握住低吸也是收获不小，而且股价主升浪才刚刚开始，后市还有很大的上升空间。请点击此处输入图片描述  
1492698348000[,,,,,,]  今日涨停家29家，跌停20家，涨幅大于5%的个股60家，跌幅大于5%的个股104家。成交量方面，沪市成交2201亿元，深市成交2248亿元，两市总成交额约为4649亿，较上一交易日缩量287亿。盘面上板块跌多涨少，白酒、西藏、中药等板块涨幅居前，雄安新区、河北、天津自贸区等板块跌幅靠前。        明日重点关注消息：1、工信部：去年医药工业企业利润3216亿 同比增15%2、天津自贸区拟在北京率先复制推广改革经验（)3、上交所官员：IPO发行的节奏还会继续保持2016年高速的态势（）4、李克强：保障老有所养老有所医（1)5、          今日大盘如预期小低开之后冲高回落再挖坑再填上，但中小创整体还是非常弱势，而且是持续的震荡调整，今日主要依靠白马股的表现才稳定了大盘的走势。雄安新区今日也再一次放量下跌，而且持续分化，所以更多的是多看少动，而且大盘这样的震荡式调整还将持续，这一点不改变我的思路，周线上整体4月7号高点之后持续看空到5月27号，这个不变，而未来21号到27号是非常复杂的反复震荡为主的行情。         今日热点为板块龙头：          今日整体就是喝酒吃药的行情，另外就是之前老的权重个股大秦铁路、中国建筑等，最近多有不错的表现，相比之下大盘下跌，而他们慢步走高，未来预期还将这样慢步前行。明日虽然有反弹，但也可以不考虑去做或是5层仓以内可以,对我来说重点还是关注老的几个板块,另外我认为未来雄安板块个股上还是有机会,只是这个脉冲的机会一定要选强势,不选弱势,不然更吃亏,才有机会,而且不能追涨,这一点一定要注意。另外喜欢做中长线的也可以买一些我之前说过的大秦铁路，每年分红７％，持续十年，这样的公司难得可贵，而且铁路运输开始回暖，今年也开始提价，未来铁路运输走出低谷是必然，所以后期大家也可以关注一下。　　明日重点关注板块概念：
1492694850000[,,,,,,]作者：胡华雄截至今日收盘，沪深两市股指小幅上涨。沪指上涨0.04%，成交2201亿元；深成指上涨0.1%，成交2448亿元，两市合计成交4649亿元，较上一交易日减少287亿元。沪深两市主力资金净流出221.52亿元20日，沪深两市开盘主力资金净流出88.17亿元，尾盘主力资金净流入21.59亿元，全天两市主力资金净流出221.52亿元。沪深300、创业板和中小板均呈现资金净流出今日沪深300、创业板和中小板主力资金均呈现净流出，流出规模分别为：15.96亿元、39.89亿元和47.47亿元。北上资金方面，沪股通净流入9.3亿元，深股通净流入8.19亿元。食品饮料行业净流入18.94亿元居首从申万28个一级行业来看，沪深两市今日共计有4个行业板块资金净流入，分别为：食品饮料净流入18.94亿元、医药生物净流入16.75亿元，建筑装饰净流入12.8亿元和家用电器净流入5.59亿元。资金净流出方面，公用事业、有色金属、房地产、机械设备和建筑材料净流出规模居前，分别为：30.86亿元、30.33亿元、29.95亿元、28.59亿元和26.26亿元。沪股通50概念股资金净流入20.76亿元居首截至今日收盘，资金净流入规模排名前5的概念股为：沪股通50、举牌、燃料电池、新能源汽车和医药电商，净流入资金规模分别为：20.76亿元、15.46亿元、9.74亿元、9.06亿元和6.73亿元。资金净流出方面，雄安新区净流出83.2亿元排名第一，质押式回购净流出54.78亿元排名第二，京津冀一体化净流出39.51亿元排名第三，国家队和锂电池紧随其后，净流出30.13亿元和17.38亿元。中国建筑净流入7.78亿元居首龙虎榜机构净买入7股盘后龙虎榜数据显示，机构今日现身22股，机构专用席位今天净卖出2.04亿元。爱司凯等7股呈现机构净买入，净买入额达6025.14万元；新力金融等15股呈现机构净卖出，净卖出额达2.64亿元。沪股通、深股通今日前十大活跃个股名单最新机构首次关注股票  
1492694283000[,,,,,,]回复: 对，谢谢你的提醒，但这不是本文的主旨，因为本文是还是基于基础层面的讲解，一篇文章给承载内容太多怕有些人消化不良，这个系列后面还有。欢迎您继续发表您的意见。//:回复:07年之前的中远海控也是高成长，现金流强大的公司，所以事实无绝对。另外高速扩张期的公司有时候现金流不怎么样，比如前几年的中国建筑
1492694038000[,,,,,,]房地产增50%保证了18，19年的业绩，建筑竣工增40%保证了今年一季度的业绩增长，中国建筑去年四季度藏了不少业绩，这次要释放一点了吧。辅以保监会鼓励险资投入大基建的消息。这次中国建筑能否改变出利好就跌的习惯呢，希望明天长阳走起，比中国交建早创历史新高。
1492693622000[,,,,,,]1.今日白马更白、更美，白酒、医药、家电、价值型国企集体走强，题材则继续“闪崩”。但指数没有再创新低，缩量小阳，技术看有望回暖。1.估值如选美，每个人都有自己心仪的那个类型。股市中主要有三种投资者，一种是财务投资者，比如基金；一种是产业投资者，比如大股东；最后一种是趋势投机者。不同投资者对股票价格都有自己的看法，但同一时间股票价格却只有一个，所以股票价格更像是选美，不是选你认为最美的，而是选大家觉得最美的。自己喜欢什么并不重要，大多数人的审美情趣才最终决定股票的价格。“漂亮50”已成为共识，大家都觉得漂亮，抱团取暖。3.主题方面一带一路较强，5月14日北京峰会，事件兑现前仍具备投资机会，同时与价值型龙头国企叠加，如中国建筑、中国铁建、中国电建、中国化学等。雄安继续分化，但仍会保持活跃，回避纯题材，重点关注环保，与PPP资产证券化叠加，PPP订单业绩也将持续释放，要有内在。结论：估值就像选美，需要考虑大多数人的审美原则（仅供参考）    
1492693551000[,,,,,,]17/4/20指数小幅度反弹了，盘中杀跌动作也有，后续看还有可能继续反弹，控制仓位。昨日资金扎堆次新股今日杀跌，家电冲高回落。今日调整后拉升的板块有酿酒，建筑；强势突破的有医药板块，关注。昨日关注的次新和家电还是有不少机会，次新里一些突破的个股走的还可以。家电板块虽然格力尾盘回落较多，但例如青岛海尔补涨的还是可以获利。不足之处是没有发现昨日回调的建筑板块，中国建筑之前已经在自选股里。过多关注强势板块，没有关注一些调整的也不行，现在的复盘已经总结了一些套路，效率高了很多，后期用这个套路选股试试可不可以有不错的效果。
1492693348000[,,,,,,] 股指期货移仓日，或吹响反攻集结号2017-04-20     今天两市延续昨日的弱势低开，大盘全天基本是围绕平盘线窄幅震荡，午后大盘有一波跳水，我们早盘在直播间用股指期货战法明确提示，大盘没有太大的下行空间，尾盘的震荡低点就是短线加仓时机。果然，“14点效应”出现，疑似国家队出手的迹象，指数快速回升并成功翻红，成功终结四连阴走势。     盘面上，资金延续昨日操盘策略，再度围攻酿酒、中药等绩优白马股。昨日直播间分析宇宙无敌的中国白酒公司贵州茅台（600519）再创历史新高415元，迎驾贡酒一度涨停；中药股中桂林三金、马应龙双双涨停，云南白药也创了历史新高。14点后，以中国建筑为代表的中字头开启扫货模式，保险股也加入护盘，并成功激活一带一路，本周《黄金周策略》重点布局的杭萧钢构（600477）一度有冲板表现。     雄安新区概念作为4月最大市场主线，是全民关注的焦点。我们前天和昨天连续在早盘直播教室分析，雄安概念股已有游资进驻，前天是上海系、昨天又加入了深圳系和山东系。保变电气干净利索连续两个跌停，导致今天早盘雄安概念走势较弱，而且监管政策没有丝毫放松的迹象，游资纷纷选择不计成本出逃。龙头之一金隅股份午后率先封死跌停板，棕榈股份、华斯股份、银龙股份等纷纷跟风跌停。正如昨天收评文章《“雄安”午后护盘，大盘能否止跌？》中分析，只有“轮流涨”，雄安新区概念才能延续4月最大主线的市场热度，后市走势也才会更健康。今天开盘前《掘金涨停》布局的创业环保（600874）一度二连板，收盘仍大涨近6%，因为国务院副总理张高丽明确表示要把雄安新区建设成绿色生态宜居新城区，具体到业绩上首先获利的领域就是环保领域。     昨天止跌企稳的次新股未能延续反弹的态势，早盘冲高未果后资金做多热情被浇灭，主要原因是唯一的赛车概念股力盛赛车14连板中二度被特停以及绩优白马股大涨形成的资金分流。按照每周10只新股的节奏，全年新股数量将超过500只，中小创品种的最主要特点稀缺性将不复存在，也就失去了炒作逻辑，所以我们从三月份开始连续提示“暂时抛弃中小创品种”，预计只有中小创市盈率运行至30—45才能引导市场资金“脱虚向实”，股价才能重新起飞。     整体上，大盘已经二度回踩3150点，大盘短线风险已得到释放，我们预计，明日是股指期货4月份主力合约移仓日，大盘大概率会快速反弹，挑战上方跳空缺口。操作上建议继续执行逢低吸纳绩优权重股的操盘策略，重点关注中字头、一带一路以及混改等板块回调中的机会。
1492692122000[,,,,,,]A股延续震荡市，大消费白马股逆市走强，成为资金避风港，盘中贵州茅台、格力电器、东阿阿胶、老板电器股价均创历史新高。 数据宝统计显示，老板电器自2010年11月上市后，公司步入发展快车道，2012年盈利迈过2亿元，2014年盈利跨过5亿元，2016年更是首次突破10亿元大关，达到12.07亿元。而同时，老板电器股价也在不断创新高，1、37只个股业绩持续8年增长数据宝统计显示，根据最新披露的年报数据，包括老板电器在内，A股共有37家上市公司业绩实现8连增。在2016年度业绩方面，以298.7亿元稳居榜首。其次是及，2016年度分别盈利74.2亿元、64.9亿元。2、医药生物行业易出白马股业绩持续增长的同时，上市公司的股价也得到了完美表现。数据宝统计显示，上述37家上市公司上市以来，，截至今日收盘，股价已上涨8681.90%。其次是及，上市至今分别上涨6256.86%及5336.66%。从上市时间来看，东阿阿胶上市时间最长，迄今已满20年，上市时间最短的岭南园林刚满2年，但其上市至今涨幅已高达326.29%。在这37家上市公司中，所属医药生物行业的最多，达到10家，其次是计算机行业、化工行业，分别有7家、4家。在当前A股市场预期不太明朗的情况下，传统行业开始相继发力。今日收盘，酿酒行业、医药行业涨幅名列前茅，分别上涨2.71%、1.71%。另外，国信证券策略分析师燕翔认为，短期来看，龙头企业价值重估的催化剂已经出现，那就是：经济下行的风险已经显著收敛；资本市场的制度改革在不断深化。这些因素将共同促使龙头企业价格重估时代的到来。燕翔认为可以沿着两条主线寻找优质龙头投资标的：一是产业集中度有望显著提升的行业（龙头份额提升、行业公司减少）；二是盈利能力显著高于竞争对手的公司（高ROE、高销售净利率）。华创证券分析师王君指出，数据宝（微信ID：shujubao2015），证券时报财经传媒集团大数据旗舰，中国股市大数据新媒体第一品牌，原创作品享有著作权，转载请保留含文章出处、水印在内的全部版权标识。欲获得更多数据查询，请关注微信公众号。同时也可以置顶我们的公众号哦！
1492691557000[,,,,,,]这个对中国建筑真是好消息，对AB来说很痛苦，该咋办呢。
1492691273000[,,,,,,]明日黑嘴票；时代万恒有的注意卖了，没有注意闭坑！热点分析；今天没好好写午评，有人说我偷懒找妹子了我也想啊......先描述盘面，要么是优级股，还有昨天吹的超跌所以我还能说什么?大盘连续2天试水，对于雄安，我买了就在群晒了，买的不多我试逻辑，谈到这个东西明晚在给你详细讲盘面连续2天白马股同时放量，你玩么？玩，但是你改的了几天不动手的习惯么？我改不掉所以只能继续挖掘啦！资金净流入一带一路，为5月准备，记得我17号发的微博么？我看好中字头股票，还推了中字头今天为首的是中国建筑，所以没有啥好坏，想那个呢你自己买，我的观点很明确，认为一带一路是会炒的而且今天启用的是中字拉大盘，我们看下那天咋说的！只能跟政治在走了，我依然看好这些票还有很多人说，北新路桥卖了没有不好意洗，没卖自己走自己的大盘基本对他没作用，有没发现这个票有点蓄势待发在大盘大跌的时候，个股还能逆势的，有量的 说明2点1、主力有钱 2、全是净买入！我不是吹他，我就觉得他像站在风口上的猪一样......带路是他的风口.....叠加概率去做吧！会看资金跑没跑的可以选择了!军工今天也异动了，原因周日下水！所以明天可能会疯狂一波，但是市场认为的龙头！北化股份这个不打仗跌了4天，缩量的，上面好多套牢呢！今天算是稳了一点，就是不知道明天咋样，看见龙头这样我晚上就不考虑了，明天就给他列入盘子在观察组具体盘子如果我没开微博直播，就是在裙里了昨天本来千人裙了，现在进不去，新开了一个，也没多少位置了在我主页对了，我粉丝有没有女的单身  
1492690669000[,,,,,,]$中国建筑(SH601668)$ 刚进这个票，请教明白人：港股的中海地产里面它有多少股份？是否体现在其地产板块里面？
1492689279000[,,,,,,]4.20复盘涨停梳理：一、医药制造马应龙  桂林三金二、超跌反弹中科云网  新华都  高升控股（实控人拟增持）   金证股份  银之杰 （央行将推进个人征信业务牌照发放）二、其他荣晟环保（一季度大幅预增）行情简述：今日行情探底回升，盘面上酿酒、工程建设、医药、船舶制造等板块涨幅居前，水泥建材、贵金属、园林工程、环保工程等板块跌幅居前，两市涨停27个，剔除一字板,自然涨停8个,没有换手连板个股，5个点涨幅以上的60个，9个点以上跌幅的32个，5个点跌幅以上的有106个，有8只个股涨停被砸，市场整体延续亏钱效应。主线梳理：无盘面分析：上证主板尾盘发动以中国建筑为代表的中字头探底回升收红结束四连阴，收盘在去年7月以来的重要支撑144ma（斐波那契数列）附近。创业板指小幅反弹。昨天复盘说“看上图目前创业板综周线还是在破位的边缘，在这种敏感的位置我会继续采取谨慎保守的策略，没有买卖就没有伤害”，今天盘面还是非常的弱势，资金继续撸起了防御性质的板块酿酒和医药，我在4.16日周末的复盘说“我个人倾向于雄安第一波行情在顶部区域了”，今天雄安新区概念的金隅股份、保变电气、数字政通等等等都出现跌停的情况，板块整体宣布gg，上面的天量套牢盘至少需要个把月消化了，我个人会维持现金为王的保守策略，从上周三4.12日就开始提示市场的系统风险，希望能帮到有些朋友。交易行情方面有问题可以留言，也欢迎多多转发、多多打赏，谢谢！复盘会同步发布在wx号：cqcapital   方便各位手机阅览收起
1492687985000[,,,,,,]$中国建筑(SH601668)$ 收盘时候的飙升是和这个公告相关吧
1492687504000[,,,,,,]       4月20日、红色礼拜四，沪深主板和中小创成指红盘报收。上证以3165.67点开盘，小幅低开5.02点，上午最高上攻到3178.18点后回落，午间休市沪指下跌2.16点，雄安概念股午后集体跳水批量跌停，沪指最低下探至3148.18点，尾盘快速翻红，以3172.10 （＜Ma120：3192.04）点收盘，上涨1.41点，短线显弱势。        盘面上：深圳主板上涨0.10%＞沪市主板上涨0.04%＞中小板综下跌0.04%＞创业板综下跌0.39%。18家次新股涨停，次新股(880529)指数下跌1.09%，报收6017.13点。75个行业板块跌多涨少。31个行业板块上涨，其中：白酒、中药、铁路运输和汽车制造涨幅居前，分别上涨2.92%、2.71%、1.93%和1.48%。保险板块上涨0.54%。中药板块中的桂林三金和马应龙两股涨停。44个行业板块下跌，其中：水泥、IT设备、园林工程和建材板块跌幅居前，分别下跌3.06%、2.21%、1.87%和1.82%。银行板块下跌0.36%，证券板块下跌0.39%。截止收盘，两市共有25家个股涨停，较昨交易日少9家，其中：沪市主板8家，深市主板1家，中小板7家，创业板9家。18家个股跌停，较昨交易日少9家，其中：沪市主板8家，中小板5家，创业板5家。        资金流向上：工程建筑、中药、酿酒和食品饮料板块资金净流入居前。房地产、环境保护、水泥和有色金属板块资金净流出居前。个股方面：中国建筑、广州港、葛洲坝和海康威视4股资金净流入居前。金隅股份（跌停）、华夏幸福、银龙股份（昨天涨停 今日跌停）和棕榈股份（跌停）4股资金净流出居前。        资金面上：沪深两市主板共成交4649.17亿元，较昨交易日4935.74亿元减少286.57亿元，单日环比缩量回落5.81%，沪深两市主力资金全天净流出212.09亿元（沪市：-72.75亿元、深市：-139.34亿元）。占当日成交金额的4.56%。深圳中小创合计成交1586.22亿元，较昨交易日1733.56亿元减少147.34亿元，单日环比缩量回落8.50%，中小创业主力资金全天净流出87.96亿元（创业板：-39.92亿元、中小板：-48.04亿元），占当日成交金额的5.55%。        外资方面：沪股通今日全天资金净流入9.30亿元＞沪股通昨日全天资金净流入4.51亿元。沪股通连续2天资金累计净流入13.81亿元。深股通今日全天资金净流入8.19亿元＞深股通昨日全天资金净流入7.75亿元。深股通连续22天资金累计净流入107.42亿元。            截止4月19日，沪深两市融资余额合计9296.03亿元，较前一交易日两市合计融资余额大幅减少30.69亿元，两市合计融资余额两连跌。        流动性上：央行上午以利率招标方式开展了1000亿元逆回购操作，鉴于今日逆回购到期量为800亿元，故今日公开市场实现资金净投放200亿元，央行连续3天累计净投放资金1500亿元。            按量化交易模型：沪市午后成交999.94亿元，较昨日同期额899.53亿元增加100.41亿元，下午环比增量上升11.16%，但小于上周下午基准量1173亿元，因此，明天上午沪指选择小幅低开后出现冲高回落发生震荡概率较大。         沪指4月21日(礼拜五)重要支撑阻力位预判：阻力位3180点，支撑位3155点，强阻力位3190点，强支撑位3145点。明天又到周五，本周前4个交易日平均成交2212亿元＜上周基准量2730亿元，因此，本周线收阴（本周五收盘价＜本周一开盘价：3229.95）概率较大。本博目前收盘仓位30%，今日盘中最高仓位30%。        明日交易应对策略：今天沪指下探暂未再创本次下跌以来之新低，但受大盘连续调整的影响，白酒和中药为主的消费类防御性板块受到资金的追捧，明天是4月份期指交割日，控制仓位、防御为主、先高抛后低吸、不开新仓不追涨。 重要风险提示：交易就是一场马拉松比赛，贵在坚持到底。本博自2014年元月2日开始坚持每天在完成工作底稿基础上，认真做好以量、价、时、空、势五要素为主的复盘笔记，以便在隔日的实际操盘过程中做到更理智面对市场，顺势而为，尽量避免和减少错误交易发生。文中关于大盘当天热点概念及个股分析、明日走势和高低点预判均以实盘交易数据为准。复盘笔记实际是写给自己看的盘口分析，炒股就是炒盘口，而复盘则是炒股的重要环节，现不惧贻笑大方，公布于众，供各位参考之用，但不构成操作依据，请大家务必秉持理性之态度阅读个人复盘心得，据此买卖，责任自负。保持合理的仓位是有效控制风险最佳途径之一，应股友们要求每日公布所持仓位只是反映自己账户所追求的理想状态而已。赠人玫瑰，手留余香，希望本人在复盘笔记中所阐述的观点和看法能对诸位股友在实战中做到控制好风险选准个股有所启迪，能成为股市中10%赚钱股民有所帮助。交易之道，太刚易折，唯至阴至柔，方可纵横天下，普天之下柔弱莫过于水，上善若水、潜心修行，练就为一名成功的睿智投资人是我年内追求之目标。
1492687296000[,,,,,,]孟德在昨天的解盘中提到，要观察雄安概念是否止跌能够王者归来重新成为带头大哥是大盘企稳与否的关键。今天雄安概念继续调整，午盘龙头金隅股份（601992）更是被打至跌停，并且70万手巨量封单，这直接导致该板块内其他个股纷纷跟着重挫，连昨日涨停的第二梯队的部分个股如银龙股份（603969）等也惨被砸至跌停，吐回昨日反弹。指数一路下行继续探至昨日低点离新低仅有1个指数点时，几日未露面的“国家队”又出手了。以中国石化（600028）、中国建筑（601668）等为代表的中字头纷纷拉升护盘，尾盘强行将指数拉红收盘。1.       近几日持续下跌，却不见国家队护盘的身影，这导致市场出现了恐慌，虽然盘中有试探性抄底资金进入，但始终未能止跌企稳。而国家队放任下跌的原因大家也很清楚，配合监管层相关监管政策的施行。所以，今天国家队及时出现，是从市场层面给信号，“稳”还是要“维”的，底线还是要有的。算是在大家即将绝望之时给市场打了一剂强心针。2.       今天央行研究局首席经济学家马骏发声：“对理财和资管业务的监管会充分考虑到市场的影响”。虽然是非官方渠道，也不是“权威人士”，但也反映出管理层目前已经注意到市场的情况，并且有“维稳”的意图，所以通过这样的渠道来向市场信号，算是监管层政策面的信号。孟德认为，当年无论从政治环境，还是经济局势，或者市场层面来讲，暴力刺破泡沫的可能性几乎为零。监管层在“吃一堑”之后，应该会“长一智”。毕竟泡沫的挤压需要一个循序渐进的过程。3.       从盘面上来看，午盘13：00之后，大批创业板个股出现了部分抄底资金进场，表现较为明显。4.       沪深股通北向资金近两日已出现了较为明显的净流入抄底。其中沪股通在连续大额流出之后，近两日已出现反转之势。5.       从形态上来看，目前沪指位于2638点以来的上行通道强力支撑线附近，除非放量贯穿跌破，否则此处的支撑力度还是很大的。而近几日的持续下跌均是缩量，显示下跌动能并不足。双针探底形态也是很好的佐证。6.       如果，将目前大盘的走势图翻转过来来看的话，会更加清晰一些。如下图：如上图所示，不难看出，缩量上涨，动能不足，连续两天收出长上引线，冲高回落，显示上方趋势线压制较强，抛压较大，理论上突破的概率不大。（由于图是翻转后的，所以上涨=下跌，下跌=上涨）综上所述，“国家队”在市场层面给出护盘信号，监管层在政策层面给出“维稳”信号，技术面上也遇到了较强的支撑，缩量下跌动能不足，盘面上，也有资金进场抄底。综合来看，短线A股的反弹一触即发。当然，要在不继续出“幺蛾子”的情况下。操作策略和标的选择上依然维持之前的观点。
1492686835000[,,,,,,]为什么机构研究报告给 的PE是9，而其他同行业都大于10？
1492686171000[,,,,,,]$中国建筑(SH601668)$ 18:49【保监会：鼓励保险资金投资国家重大工程建设】财联社20日讯，保监会发布通知称，要坚持保险服务实体经济的本质要求，积极把握“一带一路”、京津冀协同发展、长江经济带等国家战略的机遇，鼓励保险资金投资国家重大工程建设。要加强各领域监管制度的协调统一，重点加强对创新业务和交叉领域的制度完善，防止监管套利。关注和紧盯重点公司、重点领域和重点产品的风险，防止个体风险演变为局部风险、局部风险演变为整个行业风险。要敢于碰硬、敢于揭盖、果断出手，有序处置一批风险点。(来自财联社APP)
1492684276000[,,,,,,]       Flh   2017.04.20       经历了4.19魔咒的一天，今日沪深两市再次小幅低开，早盘水务、船舶、航空 、酿酒、电器仪表等板块涨幅靠前； 随后海上丝路板指出现急拉，与消息面激励有关；医药和酿酒板块表现较为亮眼。上午防御性行业的白马股得到市场的追捧，午后食品饮料板块也有上佳表现；中国建筑的放量上涨，带动沪指回升，同时雄安新区概念跌幅较大。截至收盘，沪市以3172.10点报收，微涨0.04%，成交2201亿元；深市以10359.09点报收，涨幅0.10%，成交2448亿元；中小板以6729.15点报收，涨幅0.39%，成交987亿元。       消息面：1. 4月19日，习近平总书记来到广西壮族自治区考察调研。广西是“一带一路”交汇对接的重要门户，考察首站又定在汉代海上丝绸之路早期始发港——北海。2. 李克强4月19日考察山东威海威高集团中表示：我国已进入中等收入国家行列，群众对医疗健康的需求日益增长。但该产业目前占我国产业比重不足5%，与发达国家存在不小差距，市场潜力巨大。你们的事业事关人民群众的健康幸福，功德无量。要把这一产业做成我国支柱产业。3. 进入4月，继首批4单PPP资产证券化项目挂牌之后，剩余的5单PPP资产证券化项目也将于近期推出。4. 环保部督办廊坊渗坑污染水治理投入亟待加强。19日环保部和河北省政府联合调查组现场查看了媒体报道的廊坊市大城县两处渗坑。据反映，两处土坑均为多年挖土形成，2013年曾发生废酸违法倾倒事件，导致坑内存水及土壤受到污染。5. 去年四季度，中国央行开启了金融去杠杆进程。开弓没有回头箭，公开市场利率持续攀升、债市阶段性震荡都是过程中难以避免的现象。       盘面上：防御性板块受到追捧，酿酒、海外工程、医药、电器仪表、建筑等板块涨幅靠前；雄安新区列跌幅榜首位，职业教育、债转股、建材、智慧城市、黄金概念等板块跌幅居前。沪市549家上涨，732家下跌，两市涨停板家数为25家 ，跌停板家数为21家。全天呈现出喝酒吃药的行情。       展望后市：今日午后2点附近，沪指再次回撤至3150点，30分钟K线图上形成双底态势，海外工程、建筑、船舶等板块引领沪指再次回升至3170点附近。后市沪指能否守住3150点，并在此位置整理，再积蓄能量伺机而动。短线看3200点附近成了反弹的技术压力位，建议大家多看少动，激进投资者可适当博反弹，不可恋战。紧紧把握住消息政策的导向来做交易，做到既要进的去，也要出得来。
1492684174000[,,,,,,]$中国建筑(SH601668)形态不错啊，可以入点！
1492683379000[,,,,,,]中国建筑1-3月经营业绩超预期各项指标环比、同比都出现明显增长，本人预计1季度每股收益0.3元左右，这也是近期大盘指数大幅调整，而中国建筑股价坚挺的根本原因。本组合的其他股票也大多逆势上涨，如亨通光电、三聚环保的股价都已接近历史新高。跌时重质的原理，未来将表现得更加鲜明。
