1492752911000[,,,,,,]$广州发展(SH600098)$8.5有那么难吗
1488966843000[,,,,,,]广州发展涨跌停一览
1488966698000[,,,,,,]   　　今天市场的走势从10.38开始白线居上，整体不算理想，很多股票例如钛白粉，量子通信，新能源汽车等前期的热点选择回落。从上周五开始反弹到今天有四天了，股价上涨了，但资金没有跟上。拉什么票抛什么票。明天对于个股来说行情看淡。上证指数流动资金是流出的，60分钟MACD死叉预示着调整开始，目前牛线加速上移，未来如果牛线还在上移，注意杀跌三部曲风险。　　调整过程中，关注次新股的走势结构。603311金海环境类似温州帮的走势，明天低开概率大，未来还有一个调整，急拉还是卖出为好。600098广州发展乌云盖顶的顶部走势注意风险;002300太阳电缆今天虽然涨停，但明天还是果断卖出。受张家港行走势的影响，今天银行股走势还不错。受PPP投资利好的影响，首创股份立拉涨停然后回落，就像前期的东方航空的走势，所以目前就是急拉就跑。市场走到现在，量能是一方面，次新股炒作的条件：一是缩量到1600以下，二是不缩量的前提下量差要达到800亿以上。所以目前的市场暂作休息
1488966533000[,,,,,,]$广州发展(SH600098)$ 今早犹豫了一下没有出，现在只能等三个月看看.
1488966362000[,,,,,,]$广州发展(SH600098)$ 一个涨停一个跌停，平时1%左右的换手，这两天就搞了20%换手，什么节奏，这么跑路
1488966029000[,,,,,,]长江电力分析     作为以水电为主的发电企业，尤其是持有的三峡电站、葛洲坝、溪洛渡、向家坝水电站的上市公司，水电站建设的高投入期已经全部结束，现在要做的就是坐等每一台机组的印钞。盈利能力强，毛利率高（一般在60%左右）、现金流稳定、分红能力强负债率持有优化是他的主要优势和看点。16年的重大资产收购看似给了一个巨大的现金牛和分红承诺（2016年重大资产在变化过程中的分红承诺： 2016 年至 2020 年每年度的利润分配按每股不低于 0.65 元进行现金分红；对 2021 年至 2025 年每年度 的利润分配按不低于当年实现净利润的 70%进行现金分红。公司可以采取现金或者股票方式分配股利，并优先采用现金分红的方式进行分配，原则上每年度进行一次现金分红，在有条件的情况下，公司可以进行中 期利润分配）。因为16年的年报还未发布，预估负债率约为30%左右，通过仔细看前三年的年报，他比其他水电类的企业最大的优势是：公司所属三峡、葛洲坝、溪洛渡、向家坝电站的电由国家电网或南方电网集中统一全额收购，公司电费结算以现金方式为主，电量经确认后，均能按合同要求及时足额回收。川投、国投近几年都发生过大规模的弃电现象。哎，国家队和地方军还是有巨大差别的啊。    按照2016年的业绩快报全年净利润210.15亿，按照每股分红0.65约为143亿占比70%。以今天股价13元计算，动态市盈率9.3倍，单纯的分红收益率约为5%。在整体的A股市场来说也是一个稳定的标的。但是要是深究长江电力，我认为是相当的不厚道的，长期来看是通过每一次的资产收购来摊薄中小股东权益。2016 年 3 月 25 日，中国证监会以证监许可[2016]591 号《关于核准中国长 江电力股份有限公司向中国长江三峡集团公司等发行股份购买资产并募集配套 资金的批复》核准了公司发行股份购买资产并募集配套资金相关事项。公司向三 峡集团、四川省能源投资集团有限责任公司、云南省能源 投资集团有限公司发行股份合计 35 亿股；同时，向平安 资产管理有限责任公司、阳光人寿保险股份有限公司、中国人寿保险股份有限公司、广州发展集团股份有限公司、太平洋资产管理有限责任公 司、新加坡政府投资有限公司、 上海重阳战略投资有限公司7 名投资者非公开发 行股票 20 亿股。上述股份共计55亿股，定向增发价12.08元，按照797亿收购标的物静态市盈率为8.3（2015年业绩96亿元），按照收购价来看价格相对公道。但是对于中小股东来说，这个可不是一个好的生意，相对于一个165亿股的盘子，定向增发摊薄了33%的股权，也就是说对中小股东来说要用13倍的市盈率去收购。其实以后长江电力还会在资产收购的时候采用这种方式，这种方式其实是再融资计划导致股权被大比例稀释的最佳特写，就是企业的效益因为定增而不断被稀释，也就是说你虽然长期持股，但你并没有真正享受企业稳定的利润，看似稳定的收益很大程度上会被后来定增的股权稀释掉了。     在目前的A股市场上，就目前来看我还不会选择他。@长江电力
1488965977000[,,,,,,]   周二沪深两市全天波澜不惊，稳字当头。两市小幅低开后，横盘弱势窄幅震荡，两市均以绿盘报收。创业板指三连阳后今日回落整理。截止收盘，沪指报3240.66点，跌1.75点，跌幅0.05%，成交额1982亿；深成指报10498.31点，跌53.83点，跌幅0.51%，成交额2575亿；创业板报1964.63点，跌13.22点，跌幅0.67%，成交额777.7亿。两市共有869家个股上涨，1945家个股下跌，其中涨停个股30家，跌停个股2家。  盘面上看，行业板块电信运营、建筑、运输服务、房地产、环境保护等板块幅居前，公共交通、软件服务、医疗保健、钢铁、传媒娱乐等板块跌幅居前。概念板块4G概念、苹果概念、保障房、三网融合等表现抢眼，电信混改龙头中国联通今日强势尽显，盘中一度触及涨停，估计是受到消息该股的混改方案正在国家有关部门审批之中的刺激影响。人工智能板块没能延续昨日强势：科大智能、科大讯飞均回落整理收出阴线。次新龙头个股张家港行今日勉强封板，带动中国科传、天鹅股份等个股走高，今日盘面未现两连涨停板个股，倒是昨日涨停个股广州发展今日竟然直接跌停！看来妖王修炼之路艰险坎坷，路漫漫其修远兮，吾将上下而求索！　   技术上看，今日沪指精准回踩10日均线后止跌企稳，窄幅震荡格局明显，沪指以十字星收盘。成交量较昨日略有萎缩。20日均线即将上穿5日均线，明日沪指若能带量上攻则沪指形态将彻底修复走好。而创业板指数今日三连阳后后缩量回落整理，收盘价仍远离5日均线，意味明日继续整理概率较大。 近期盘面，虽然上证指数出现调整，但整体市场却有着较为明显的强势特征。前期主板调整主要受权重的金融行业调整影响，而多数行业在调整中呈现高位整理状态，并伴随多个细分行业指数创出阶段性新高，中小创成交量总体上呈现持续性增长。所以虽然近阶段市场主线较为纷乱，但市场风险偏好似有所提升。创业板指数已经形成了一个上升通道，尤为难能可贵的是，这个通道在上涨过程中是带量的，也就是说，有资金真金白银进来了。这个上涨首先的任务就是必须拿下2000点这一带阻力，以目前成交量来看，是可行的！然后继续反弹，收复之前长期横盘平台2200点，在2200点之前的所有反弹都只能是反弹！只有拿下2200点横盘平台才有可能转势！就目前看起来困难重重，但是很多时候不是也有奇迹发生吗?　操作上：目前已经进入两会期间，股指总体维持稳定的窄幅波动，符合监管层的预期。而在这期间，一些蓝筹股，央企混该股闻风而动。但盘面上的短线热点板块的切换速度较快，追涨杀跌容易大亏出局。市场追涨热情并不高，热点板块缺乏接力资金，多数资金离场观望。近期，一些基本面较好的次新股连续拉升，存在送转预期的次新股开始低位放量走强。蓝筹股，周期股，科技股也有不错的轮动机会，投资者可根据自身选股风格，结合市场板块轮动的节奏，精选个股，中线运作，低吸高抛为主。
1488965499000[,,,,,,] 600209   罗顿发展   具备土地流转   但炒作的更多是年前妖股的反弹和资本运作预期；002300太阳电缆  000595宝塔实业         600577   精达股份   资产收购 独立利好  价位低  T字板 看明天接力情况        603689   皖天然气    油气改 革+次新股   20-30价位 创新高  今天次新股有降温的迹象  持续性不好判断 现在新股开板晚  风险+        002839   张家港行   山东帮+次新银行  这票牛逼 开始与2807携手共舞  后来你来我往  你一天我一天 羡煞旁人        002742   三圣股份   庄股  盘中一度诡异盘口   明天看怎么走 看戏为主        600098   广州发展   主席 这票是妖精 快来啊   恶心的票        600050   中国联通   混改   消息混改方案有望在两会 期间给出   预期BAT介入  一度冲击涨停   无愧混改第一股的称号        002352   顺丰控股   前期妖股    根据前期的龙虎榜数据  深港通 介入的资金应该还在里面 而且仓位不少   下午异动  难道再次向首富的位置发起进攻？        。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。        。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。        市场什么时候能来一条明显的主线  类似去年的新能源汽车 和股权转让。。。。。。。。。。   
1488965305000[,,,,,,]$广州发展(SH600098)$ 这走势想笑。见过非常尖的山峰，没见过钉子啊
1488965084000[,,,,,,]盘后总结：以今日走势表现而言，可以看出多头暂时并没有发力的迹象，反而市场资金的谨慎态度更加强烈，所以再次重申指数短线仍有震荡换手需求，进一步上涨可能还需一些准备工作，当然中线行情暂时向好。但是从板块表现上看，市场的轮动和分化及其严重，前两日强势的人工智能在今日也位列跌幅榜前列，或以行业板块而言，今日领涨明日领跌的现象略见不鲜，今日两市涨少跌多，涨跌比例也有点没法看，市场的轮动和分化带来了加大的操作难度，这一点需要投资者注意！
1488964733000[,,,,,,]$广州发展(SH600098)$觉得这个是和证监会叫板，大鳄玩的很开心呀。
1488964622000[,,,,,,]周三市场走势非常惨淡，热点消退现象较前两日更加明显，赚钱效应缺乏，只有少数妖股品种勉强支撑盘面。自然涨停个股数目就很说明问题，两市仅有9家，应该创下了一段时间的最低值了。太阳电缆、宝塔实业、张家港行、皖天然气，这些个股都是前期疯涨过的妖股，由于股性活跃才被再次炒了起来。从走势上看，资金在盘中也试图发动过几个热点，但最后视乎都无功而返。早盘看，锂电池的几个个股有一波上冲，赣锋锂业、科恒股份等在开盘后都有买盘推升，不过随后便一路低走了，未能得到市场回应。人工智能板块上，科大讯飞周二巨量涨停板被打开就不是一个好兆头，包括科大智能在内都是一个低开奠定了全天的弱势，全天都没有行情。最有希望引发市场跟风的应该是军工了，天和防务上午十点左右涨停，一度引发北方导航、景嘉微等跟涨，板块涨幅也在当时来到首位，照正常情况已经吸引了市场眼球，全天就此走强的概率很大，不过结果也已经看到，天和防务最终还是放巨量被砸，整个板块也跟随回落。一天中另一次板块性机会来自于中国联通，午盘前联通有一瞬间还封上了涨停板，不过由于时间过短，在分时图上甚至于都看不到了，混改板块是此前众望所归的题材，如果联通能够封板，板块性走强是非常有可能的。不过联通的上涨也的确一定程度上激活了市场，太阳电缆、宝塔实业等应该都是跟风涨停，而且股性活跃盘子也更适当，成为了为数不多的涨停板。值得一提的是广州发展，周二巨量涨停，周三则是一路下挫到跌停，目前看周二很有可能是资金兑倒，而周三则是资金借机出货，而这也显示出当前市场环境的相对脆弱。综合而言，周三市场的低迷已经有目共睹了，虽然指数保持相对稳定，但市场热点衰弱的很厉害，缺乏赚钱效应，这时候短线要有风险意识，观察、等待市场的转强吧。
1488964430000[,,,,,,]大势研判今日上证指数窄幅震荡，盘中最大振幅仅15个点，收报3240.66，跌幅0.05%，成交1982亿；深证指数今日收报10498.31，跌幅0.51%，成交2575亿；创业板指数今日收报1964.63，跌幅0.67%，成交777.7亿。A股市场经历了前两日的上扬，前期利好消化之后迎来进一步的震荡整理，技术上，深证指数和创业板指日线RSI超买回调，市场缩量在等待后市更加明确的信号。随着“两会”相继召开，市场进入维稳阶段，根据历史的经验，两会期间市场大概率小幅盘整为主。短期小幅的盘整回调对于股市大格局影响不大，结构性震荡的背景下，优质个股的价值挖掘显得尤为重要。今日热点盘面上宁夏、中字头、农机、天津自贸区和燃气水务板块涨幅居前，央企改革龙头中国联通再度发力，带动中字头和国防军工板块强势反弹，太阳电缆涨停，天和防务一度涨停回落。跌幅榜上人工智能、广东自贸区和国产软件跌幅领先，昨日大涨的个股多数跌幅领先，市场热点缺乏有效的延续性，板块轮动速度快。个股关注沪深A股今日有29家涨停，861家上涨，1933家下跌，其中金海环境和广州发展跌停。大盘横盘整理的背景之下，多数个股表现平淡，等待进一步的确认信号。前期一直关注的沱牌舍得（600702）继连续放量上涨之后，高位缩量收小十字星，走势平稳；航民股份（600987）日线超买，缩量回踩十日线获得支撑；安凯客车（000868）缩量下行，试探30日均线支撑；奥瑞德（600666）长时间震荡整理，前期低位放量，后期走势值得关注。操作策略两会行情虽已启动，但大盘走势相对谨慎，以维持稳定为主，板块热点缺乏持续性，板块轮动速度过快，追高风险大，把握政策导向低位埋伏更加稳健。另一方面，目前上市公司年报开始密集披露，围绕年报的解读也可以有相应的布局，重点关注企业的困境反转。
1488964357000[,,,,,,]$广州发展(SH600098)$50%换手率，牛
1488964045000[,,,,,,]$广州发展(SH600098)$ 今天惊人
1488964025000[,,,,,,]1、涨停：今日涨停29支，其中剔除ST板块和未开板新股有8支1）老妖股  3支2）其他 5支2、烂板：盘中触及涨停但未封住涨停或涨停被砸9支 3、跌停板：今日跌停2支点评：今天涨停板29支，剔除未开板新股只有8支，涨停数量尤其是自然涨停数量减少幅度非常大，在近几个月的交易日中属于最低的水平。涨停板上基本上没有板块效应可言，唯一3支有一定关联的是2016年被爆炒过的老妖股。次新股的热度也降低的很明显，这个在意料中，因为昨天复盘看到开板新股没有延续接力，分化转弱也在情理之中。次新银行股龙头张家港行已经不能当一般庄股来看，现在的走势已经是妖性十足。今日盘面比较特殊的一点是涨停数量稀少，但大跌和跌停也不多，过去一般自然涨停数量低于10家时，相应的跌停数量也会超过10家，今天的这种情况不知道是否传言管理层向各机构传递维稳信号起了作用。 二、当日市场综合分析 从今天的市场热度数据来看，涨停30支，非一字涨停9支，跌停2支，市场基本上无热度可言，但跌停数量较少也是没有明显的售盘出现。昨天涨停的个股今天平均涨幅0.59%，打板的赚钱效应很差。这两个指标综合来看，就是愿意封板的资金少，愿意参与涨停接力的资金更少。涨跌趋势上，3日涨幅大于10%的个股数量只有59个，比昨日减少了很多，并且这个趋势与指数是持续背离的，3日跌幅大于10%的个股也很少，降低到1支，近几日的普涨所导致。今天的涨跌比是962：1945,33%的个股上涨，剔除上市20日内新股，涨幅超5%的个股是38支，涨幅超4%的个股是58支，大涨股的比例很少，跌幅超4%的个股21支，这个数量也不多，反应市场波动很小，弱平衡格局在延续。剔除一字板，昨天涨停的15支个股中，8支上涨，6支下跌，1支停牌。平均涨幅0.59%，赚钱效应较差。没有延续涨停的个股，昨天表现好的品种主要是次新，今天依然算得上比较热门，但是较昨天弱了很多，次新的持续现在看参与的游资已经减少，主要是短庄股在参与。广州发展从涨停到跌停，这种现象在近期比较少出现，这是一种资金情绪非常极端的反应，往往出现在市场风险阶段，该股近期的走势算的上非常强势，成交额昨日排两市第一。另外一方面，他也算的上市近期强势股回调的品种之一，最近跌幅榜频繁出现前强势股回调，表明有高位筹码派发，同样是市场风险点。 总结：上证今天缩量震荡，收出十字星，连续反弹两日后上攻受阻，技术上继续看淡。创业板指缩量回调，2000点压力颇大，即使涨上去，也难一蹴而就。回到盘面上，今天整体热度较差，波动很小，上涨的品种的动力主要来自两会的消息刺激如今天的混改为指数做出了不少的贡献。无论指数怎么演绎，涨停数量和近期连续涨幅超过10%的股票数量在减少是不争的事实，题材延续性差，基本都是消息推动的一日游，次日能否获利出局还得看运气，主流资金（主要是短庄资金）在引导次新板块，但游资参与的量也明显减少，市场的参与难度其实挺大的。我仍然建议做好防守，只能轻仓或者观望。最近持续维持这个观点，于是引来了不少喷子，可能只是市场还没见到明显的下跌，但从市场的实际状态来看，从2月8日市场状态达到了最亢奋的水平，3日涨幅超过10%的个股达到123支，随后指数在涨但是市场热度始终没有回到2月8日的水平，这是数据方面，盘面上的热点呈快速轮动，尤其是近几日的一日游题材非常多，这种快速轮动的市场对于短线投机来说，大部分人是赚不到钱的（高手请自动飘过）。经过年后的一波反弹，市场由强转弱也是一个过程，加上现在是两会的特殊时间点，两会初期的消息刺激对市场也有一定的影响，但随着两会进入后半场呢？市场对消息刺激会越来越冷淡，肯定会有冰凉的时刻出现，所以我认为当前是在累积风险，在这个阶段应该轻仓是为了规避风险，何时撤退我也在前期复盘提到过，看到盘面上有明显主动抛售出现就跟随撤离，比如跌幅超过4%的个股从50支向100支迈进的盘面出现。
1488964015000[,,,,,,]  【今日主力资金净流出前十个股】今日沪深两市主力资金净流出前十个股分别为：广州发展、长安汽车、中信国安、联络互动、金海环境、国中水务、水晶光电、国风塑业、科大智能、江阴银行。
1488963862000[,,,,,,]大盘开始调整，昨日伪强势了一把，今天就开始跌了。自然涨停只有这么点，赚钱效应非常差1、反抽板属于一类。太阳电缆、罗顿发展、宝塔实业都是这样。庄股股性好，跌多了，反抽一把，也没啥好说的。2、庄股属于一类永吉股份、恒通股份、皖天然气都这样，也只有这类庄股可以不怎么看市场脸色了。市场赚钱效应极差， 停牌是真有点可惜了。山东+利好，不然今天能提振一下次新股。等到时候次新股这一波都完了它再放出来，恐怕就很难看了。 大坑爹的，昨天涨停，今天跌停，有点像渝开发之前那个涨停，高位、大盘，除了庄家真想不出哪个游资去发动这么多资金昨天去拉这个，今天跌停也是必然富春通信、水晶光电、中钢国际都是趋势股很好的，今天大跌，也能说明一些问题。大盘真是不好了，谨慎为主了。
1488963782000[,,,,,,]$广州发展(SH600098)$看图不说话
1488963376000[,,,,,,]【规避高位派发风险股 寻求底部补涨机会】沪指全天围绕10天均线窄幅震荡，个股表现疲软。嫦娥五号预计年底发射，航天科技集团混改将主要由上市公司实现，天和防务、北方导航盘中冲涨停带动军工上行。锂电池与次新银行股冲高，但个股表现疲软，创业板一路走低。中国联通盘中涨停后个股小幅回升。近期最大的热点人工智能今天表现疲软，午后个股重新回落，水泥股盘中拉涨后，个股跳水。临近尾盘有所翘尾。上涨2%以上个股不足200只，2000只个股绿盘。近期热点明显消退，资金派发欲望较强。比如昨天涨停的广州发展今天直接跌停。震荡市高位股派发风险非常大，追逐热点导致的亏损甚至比下跌市还要厉害。量能是选股的关键，去寻找那些低位量能温和放大的个股做超跌反弹。至于创业板在周一周二两根巨量放出之后今日出现5天均线上的回踩是正常行为，投资者可继续关注该风格类相关个股表现。   
1488963268000[,,,,,,]$广州发展(SH600098)$这是什么套路幸亏我是负成本的
1488963215000[,,,,,,] 大盘震荡整理，投资者观望情绪浓厚 今天大盘低开，在权重股与题材股的相互博弈下，大鹏鸟窄幅震荡整理。从盘面上看：中字头股票、农机、天津自贸区、两桶油改革、国防军工、海工装备、航运等板块涨幅居前，而人工智能、广东自贸区、国产软件、光学光电子、手机游戏、量子通信、计算机应用等板块调整，跌幅居前；反映市场依靠权重维稳，主力资金有出逃题材股迹象；涨停板股票29个，比上一交易日有所减少，2个跌停板，成交量比上一交易日略有减少，这反应市场做多动力继续减弱，做空动能继续增强。整体来看：两市今日集体疲软，两市无一个板块涨幅超过1%，领涨的中字头股票板块仅上涨0.6%，各个板块也未出现强势涨停的领涨股。个股方面，即便加上未开板的新股，两市涨停股也仅仅不足30只，而今天两市的焦点股则出现在跌停股当中，广州发展昨日天量涨停，今日天量跌停，吸睛力量十足。这反应市场投资者比较谨慎，主力资金有一定的撤退迹象。因此，当前行情下，不宜盲目激进。 从技术面看，今天沪指日K线在上5日均线之上运行，反映市场短期较强；从MACD指标看， DIFF下穿DEA，绿线柱略有变长，这说明市场下跌趋势略有增强。从大盘分时K线走势图看，大盘上涨或下跌量能平缓，市场多空参与意愿不强。因此从技术分析看，大盘短期走势不明朗。综合而言：沪指今天小幅低开后，基本上在平盘线附近维持震荡走势，尾盘一度下探至20日均线附近，获得支撑重新回升。虽然盘中走势触及关键点位，但全天振幅依旧小于0.5%。无论从K线形态，还是成交量来看，今天沪指均属于标准的窄幅震荡调整走势，对方向选择的指向性参考意义较少。相信在两会期间，这样的窄幅震荡大概率会持续下去。与沪指的窄幅震荡不同，创业板指则出现了明显的调整走势。首先，三连阳后的小幅调整实属正常，尤其是其中一天还放量大涨；其次，经过连续上涨后，创业板指已到达了上一个震荡平台，在此处构建平台震荡整固，以求未来继续向上攻击，也在情理之中。操作策略上，建议稳健投资者以逢高减仓为主，激进投资者逢低关注国资改革、大数据等板块个股机会。
1488963193000[,,,,,,]精达股份，5板，开板6个亿，没敢去排单，罗顿发展，才要下单就发现炸了，就没有看了，后来一看涨停板很少，就不想今天打板了，昨天加自选的广州发展，昨天涨停今天砸到跌停，看不懂这个，不太理解这个方法，要不就是有什么我不知道的东西，要不就是他资金断线，观察就好，富春通信来了一跟放量中阴线，也该洗洗了，看看洗到哪吧，洗的越狠我就越爱你，但也排除反弹到位的情况，今天的高点就在60周下，今天买了南大光电，长城凤凰，没有太强的逻辑就是以60线做的参考，主要是心里怕踩空的心理，唉，什么时候可以改掉这毛病！
1488962118000[,,,,,,]技术面上来看沪指处于红色持股区域，沪指周三收十字星，量能萎缩，预示多空在此处都相对谨慎，十日线，五日线拐头向下与20日线夹角逐渐变小，预示指数变盘节点越来越近，MACD依然死叉，空方力量正在不断加强，适当控制仓位，先观望方向为主。短期下方支撑3230，压力3260附近. 创业板周三出现调整，成交量缩量，MACD,KDJ继续金叉，个人认为属于良性调整，反弹趋势犹在，后市重点留意2000点附近压力，下方支撑1950点附近.盘面上电信运营，北京冬奥，丝绸之路涨幅居前，钒电池，量子通信，特斯拉跌幅居前。热点继续一直游，除了次新股略有持续性其余板块当日追高，第二天活埋概率较大，显示游资的确相对谨慎，个股操作难度的确在加大。今日虽然中国联通为首的中字头强势拉升，但市场反应平淡，保险，银行等护盘品种依然有一定表现，预示指数下跌空间基本不大，但部分高位庄股像广州发展等全天震荡派发，杀伤力不容小嘘投资者对高位品种适当留意.市场继续维持窄幅震荡，但值得留意虽然指数在国家队的护盘下跌幅不大，但个股普遍出现一定调整，尤其是热点散乱一日游居多，资金只能在次新股里博弈风险收益，这样的盘面操作能力差的投资者还是不建议参与，继续维持指数短期在3200-3260箱体震荡的观点，低位股继续持有，高位股逢高了结。数据方面中国2月进口同比大增44.7%大超预期，出口低于预期，主要由于大宗价格暴涨和春节因素影响，当然实体经济也的确在回暖，但我们认为不宜过分解读，对市场影响中性。选股方面关注次新股，ST摘帽概念等板块。  
1488961187000[,,,,,,]       一天就这么又过去了~~~~       上证指数MA20又获得支撑，遗憾的是中国联通和中国建筑同时启动也没能带起大盘。        创业板指在缺口附近震荡，也是预期之中，没有出现大规模出逃迹象。        从指数看都在涨，但市场人气越来越低迷，大伙都不赚钱，当然提不起兴趣，这种缓慢的上升通道+结构性板块行情，确实非常难操作。        1、不能追涨   这几天追涨的环境非常恶劣，极端的如科恒股份、科迪乳业、广州发展涨停板第二天都是直接闷杀，每天天线宝宝的股票不计其数，比如今天手里的北斗星通就愉快的坐了一轮过山车。        2、上涨要敢于兑现   这其实就是上一条的对手盘，慢牛就意味着指数上涨缓慢，这次长下影线后一共32个交易日，涨了130个指数点，平均每天4点，拉高敢于卖出股票，不会存在踏空指数的风险，什么是拉高？我自己的定义是大股票5个点以上，小股票10个点左右获利了结。        3、仓位不重要  这是我这段时间最大的感受。以前上涨靠仓位貌似不管用了，再也不是以前那样即使拿的不是主力板块但也能跟着指数涨了，很多仓位不仅是无效仓位，而且还需要上涨的股票来填坑。       4、二八转化质变    二八风格切换已经是过时的说法，“二”不在是大股票的代名词，蓝筹里会分化，中小创里也会分化，20%以后没有大小之分，是有价值的股票。剩下80%存在的交易价值和壳价值慢慢被稀释、边缘化。       5、降低预期   虽然放在最后，但最重要，自己消化理解。       最后讲一个前几年熊市的段子：经过坚持努力我终于学会了战胜熊市的方法，结果~~TMD的牛市来了。        今天盘面好多大票又拉一把，这就是一直说坚持大小都要配置的原因，两边都时不时会抽风，虽然是左右手互博，但要认，赚慢钱。比如今天手里涨的都给中信国安填坑。        大票今天三个点追了中国建筑，也不是头脑发热，调整时间和空间都很长了，保险举牌也应该算落地，配置一些，昨天买的地产荣盛发展今天也还可以，中国铝业这一口气憋的实在是郁闷。         小票今天买入汉王科技，中科创达一不小心卖了个高点，继续看好AI.               
1488959911000[,,,,,,]5分钟今天两个信号。对应15分钟1个信号。15分钟的30线破位后。来到了89线，也就是日线的通道生命线3230.只有这里跌破，才会演化为更大级别别的下跌。明日关键生命线调整为15分钟的89线。上多下空。日线。下降通道为生命线。上多下空昨日回顾次新龙头宣亚国际正好高开4.97%。收盘平手。这个算失败漏。这种高开，应该是封住才好。显然是想封失败了那么今日的次新龙头 应该也没有连扳的可能吧。科大智能。直接低开套住昨天的人。烂了。60分钟图的13线，如果破位。那么要有段时间调整了。罗顿发展不错。n字板看好。生命线60分钟13线今日热点次新龙头皖天然气军工龙头 烂了。不看好草甘岭利尔化学(SZ002258)烂了。似乎没有什么板块拿的出手。市场人气很差今日跌榜 应该叫你狗大爷。市场当下最大的风险，就是这种。明日策略。还是防守保命。
1488959413000[,,,,,,]$广州发展(SH600098)$ 我点评的是2016.9.6的涨停是涨停板吸货，请看原帖。至于有人理解成昨天，我表示无法解释。大部分人都是昨天才会注意到这只股。我在提前几个月，涨停板吸货的时候就说过了。你还要我怎样，要怎样，能怎样//@从前从前HQ:回复@从前从前HQ:最典型的涨停板吸货，教科书式的走法。$广州发展(SH600098)$
1488959115000[,,,,,,]$广州发展(SH600098)$广州发展，你怎么了？昨天涨停今天跌停。啊哟，ok？这么高的换手率，哪里突然跑出这么多客户来交易他呢？扣除长江电力和广州国资的持股，只有23%的流通股在外，也就是60个亿左右的市值，昨天，今天都是三十多亿的成交，谁拉的涨停？谁砸个跌停？大数据有没有效果啊？
1488958919000[,,,,,,]3月8日小结：股价是一个股票的外在表现形式，反映的是基本面、技术面、情绪面的集合。谁能很好的解释一下广州发展昨天冷不丁的涨停，今天更加意外的跌停？29个涨停板（个数阶段新低）里面，3个老股，2个老妖股反抽，3个老次新，1个重组股，20个未开板次新。重庆建工、太阳电缆重庆建工（600939）：虽然业绩弹性好大，但是横向比较同属建筑施工行业公司的营收来看，市值普遍在400亿左右。如果明天能开板，对应市值255亿，有博弈的空间，如果后天能开板，对应是指280亿，还有博弈的空间。再加上股价单价不高，流通市值也不大，很不错。备选。太阳电缆（002300）：目测会成为短期被热烈讨论的股票，毕竟是2017年的第一个妖股，群众效应还在。实际流通盘2亿股，阶段单日最大成交1.14亿股。一会看看成交回报，直观感觉有一线游资参与。谨慎备选。次新股出现分化，近期涨幅比较大的次新调整，然后另一波没怎么涨过的补位。次新股指数（880529）暂时还没有拐头，次新股还可以嗨一段时间。 、 、
1488957691000[,,,,,,]像 这样的白马股，没有利好下的涨停，必有妖孽。
1488957604000[,,,,,,]$广州发展(SH600098)$ 坑货 
1488957486000[,,,,,,]$深赤湾A(SZ000022)$ 看看广州发展的人气 这个股为啥不跌停
1488957203000[,,,,,,]【昨涨停今跌停】广州发展昨日涨停，今日放量跌停，成交逾31.35亿元。
1488956644000[,,,,,,]$广州发展(SH600098)$31亿的交易费，券商表示很红包，很三八节
1488956602000[,,,,,,]$广州发展(SH600098)$明天一子板，千万别客气，杀回9.5，慢慢整理。
1488956478000[,,,,,,]$广州发展(SH600098)$那么，明天是该竞价挂跌停呢，还是开盘择机卖呢？
1488956345000[,,,,,,]$广州发展(SH600098)$ 疯了啊，昨天涨停，今天跌停，闪瞎狗眼
1488956089000[,,,,,,] 昨天涨停，今天跌停，什么鬼？主力真会玩！
1488955751000[,,,,,,]$广州发展(SH600098)$今日买入该股，不知能发财否？
1488955681000[,,,,,,]昨天涨停今天跌停，被 刷屏了
1488955569000[,,,,,,]$广州发展(SH600098)$没换手率，明天继续跌
1488955303000[,,,,,,]$广州发展(SH600098)$ 自作孽
1488955262000[,,,,,,]$广州发展(SH600098)$坐山观虎斗
1488955258000[,,,,,,]$广州发展(SH600098)$自做孽不可话
1488955173000[,,,,,,]$广州发展(SH600098)$还是庄家厉害呀。我去看我别的股了
1488954882000[,,,,,,]$广州发展(SH600098)$本来昨天这个票好好的，为什么今天会这样？
1488954709000[,,,,,,]$广州发展(SH600098)$ 一下子提高了关注度。。。
1488954641000[,,,,,,]$广州发展(SH600098)$ 连续两天百分之十的换手率啊
1488954513000[,,,,,,]今日盘中并无热点，早盘涨停的混改+5G概念的 被开板，其他混改概念股今日跟风并不强；近期调整的军工类个股今天有所上涨，但这也是因为前期调整幅度较大而形成的小反弹。今日比较耀眼的是，前期老妖股， 强势封板，并带动了 ，而填权宝塔实业四天两板，可见目前市场资金比较青睐这些前期超跌庄股，但这种股票在实操种很难把握，需要提前布局，等于用时间换空间来赚取涨停板，如果有兴趣，可以适当参与。而今天跌幅榜靠前的股票广州发展，昨天在涨停板今天在跌停板，再次提醒到大家，震荡市，追涨第一个就杀你！
1488954107000[,,,,,,]昨天大涨的几只股票今天大跌，广州发展昨天涨停，今天跌停，金海环境昨天大涨今天跌停，历史告诉我们，不要乱追高。
1488953994000[,,,,,,]$广州发展(SH600098)$坐等12元
1488953718000[,,,,,,]$广州发展(SH600098)$帅呆了
